Genotype	TimePoint	N	VCO2.3.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 72.25	10.905	 5.452	17.352	DARK	0.445356637	.
112L1	  2	4	 76.25	23.852	11.926	37.954	DARK	0.536490431	.
112L1	  3	4	 82.00	24.913	12.457	39.642	DARK	0.769938885	.
112L1	  4	4	 77.50	16.921	 8.461	26.926	DARK	0.374372263	.
112L1	  5	4	 79.50	15.610	 7.805	24.839	DARK	0.022464457	*
112L1	  6	4	 82.00	20.017	10.008	31.851	DARK	0.018955306	*
112L1	  7	4	 77.25	20.726	10.363	32.980	DARK	0.089378160	.
112L1	  8	4	 79.00	24.249	12.124	38.585	DARK	0.062592332	.
112L1	  9	4	 68.00	19.425	 9.713	30.910	DARK	0.061604800	.
112L1	 10	4	 71.00	19.253	 9.626	30.635	DARK	0.047790747	*
112L1	 11	4	 83.00	32.843	16.422	52.261	DARK	0.029989964	*
112L1	 12	4	 59.75	17.858	 8.929	28.416	DARK	0.008337648	**
112L1	 13	4	 50.00	12.111	 6.055	19.271	LIGHT	0.006325479	**
112L1	 14	4	 65.00	36.869	18.435	58.667	LIGHT	0.112616951	.
112L1	 15	4	 67.25	10.844	 5.422	17.255	LIGHT	0.358929496	.
112L1	 16	4	 50.25	11.529	 5.764	18.345	LIGHT	0.020717555	*
112L1	 17	4	 42.00	16.083	 8.042	25.592	LIGHT	0.014687247	*
112L1	 18	4	 51.00	26.621	13.310	42.360	LIGHT	0.141975745	.
112L1	 19	4	 53.00	11.916	 5.958	18.962	LIGHT	0.111001309	.
112L1	 20	4	 45.00	 7.439	 3.719	11.837	LIGHT	0.034957703	*
112L1	 21	4	 54.75	13.769	 6.884	21.909	LIGHT	0.017093670	*
112L1	 22	4	 46.50	 5.000	 2.500	 7.956	LIGHT	0.066500305	.
112L1	 23	4	 45.75	 4.031	 2.016	 6.414	LIGHT	0.020008987	*
112L1	 24	4	 59.25	17.366	 8.683	27.633	LIGHT	0.588252731	.
112L1	 25	4	 63.25	21.422	10.711	34.088	LIGHT	0.853482459	.
112L1	 26	4	 56.50	14.821	 7.411	23.584	LIGHT	0.095342545	.
112L1	 27	4	 50.75	12.312	 6.156	19.591	LIGHT	0.374757896	.
112L1	 28	4	 49.50	 8.347	 4.173	13.281	LIGHT	0.079515648	.
112L1	 29	4	 49.25	 5.252	 2.626	 8.357	LIGHT	0.122191952	.
112L1	 30	4	 57.75	10.145	 5.072	16.143	LIGHT	0.050728655	.
112L1	 31	4	 61.50	16.823	 8.411	26.769	LIGHT	0.349172554	.
112L1	 32	4	 66.50	16.823	 8.411	26.769	DARK	0.328042936	.
112L1	 33	4	 80.50	11.619	 5.809	18.488	DARK	0.297557011	.
112L1	 34	4	 76.75	16.091	 8.045	25.604	DARK	0.833966423	.
112L1	 35	4	 83.00	12.987	 6.494	20.665	DARK	0.597645227	.
112L1	 36	4	 78.75	17.970	 8.985	28.594	DARK	0.927252700	.
112L1	 37	4	 72.75	26.862	13.431	42.744	DARK	0.948327143	.
112L1	 38	4	 76.50	16.052	 8.026	25.542	DARK	0.557873829	.
112L1	 39	4	 70.25	22.202	11.101	35.328	DARK	0.280643094	.
112L1	 40	4	 74.00	25.807	12.903	41.065	DARK	0.073449252	.
112L1	 41	4	 77.75	11.087	 5.543	17.642	DARK	0.493519309	.
112L1	 42	4	 83.25	22.648	11.324	36.037	DARK	0.069238922	.
112L1	 43	4	 80.00	27.797	13.898	44.231	DARK	0.130174137	.
112L1	 44	4	 88.25	26.837	13.419	42.704	DARK	0.210596995	.
112L1	 45	4	 83.25	37.044	18.522	58.945	DARK	0.615436110	.
112L1	 46	4	 80.25	38.100	19.050	60.625	DARK	0.749765358	.
112L1	 47	4	 61.25	18.998	 9.499	30.230	DARK	0.077307425	.
112L1	 48	4	 63.50	16.010	 8.005	25.476	DARK	0.077878766	.
112L1	 49	4	 75.50	32.047	16.023	50.994	DARK	0.080427649	.
112L1	 50	4	 69.00	13.784	 6.892	21.933	LIGHT	0.151899405	.
112L1	 51	4	 70.75	33.659	16.829	53.559	LIGHT	0.886150817	.
112L1	 52	4	 55.25	27.885	13.943	44.372	LIGHT	0.098221056	.
112L1	 53	4	 58.75	12.971	 6.486	20.640	LIGHT	0.019482976	*
112L1	 54	4	 55.00	19.630	 9.815	31.236	LIGHT	0.064327622	.
112L1	 55	4	 57.75	26.094	13.047	41.522	LIGHT	0.164964634	.
112L1	 56	4	 57.00	16.633	 8.317	26.467	LIGHT	0.040781587	*
112L1	 57	4	 58.75	 8.655	 4.328	13.773	LIGHT	0.004111339	***
112L1	 58	4	 63.25	28.535	14.268	45.406	LIGHT	0.773068728	.
112L1	 59	4	 52.75	16.939	 8.469	26.953	LIGHT	0.161414006	.
112L1	 60	4	 56.50	16.623	 8.312	26.451	LIGHT	0.226086496	.
112L1	 61	4	 51.25	15.819	 7.910	25.172	LIGHT	0.118802367	.
112L1	 62	4	 54.50	16.703	 8.352	26.579	LIGHT	0.716815789	.
112L1	 63	4	 47.25	14.569	 7.284	23.182	LIGHT	0.222003062	.
112L1	 64	4	 52.00	17.029	 8.515	27.098	LIGHT	0.075675643	.
112L1	 65	4	 46.00	16.021	 8.010	25.493	LIGHT	0.017993736	*
112L1	 66	4	 72.50	26.006	13.003	41.382	LIGHT	0.626719568	.
112L1	 67	4	 57.75	12.093	 6.047	19.243	LIGHT	0.489775045	.
112L1	 68	4	 60.00	22.106	11.053	35.175	LIGHT	0.595147469	.
112L1	 69	4	 74.00	14.095	 7.047	22.428	DARK	0.396765187	.
112L1	 70	4	 70.75	12.420	 6.210	19.763	DARK	0.238819467	.
112L1	 71	4	 75.00	16.186	 8.093	25.756	DARK	0.477686835	.
112L1	 72	4	 79.75	24.514	12.257	39.007	DARK	0.514569462	.
112L1	 73	4	 81.25	15.327	 7.663	24.389	DARK	0.643115237	.
112L1	 74	4	 79.25	20.467	10.234	32.568	DARK	0.727315052	.
112L1	 75	4	 77.50	18.735	 9.367	29.812	DARK	0.754294796	.
112L1	 76	4	 78.25	16.998	 8.499	27.047	DARK	0.206114240	.
112L1	 77	4	 85.25	22.381	11.191	35.613	DARK	0.271232940	.
112L1	 78	4	 87.00	28.554	14.277	45.436	DARK	0.145114231	.
112L1	 79	4	 84.50	31.586	15.793	50.260	DARK	0.199855469	.
112L1	 80	4	 84.50	31.225	15.612	49.686	DARK	0.571395722	.
112L1	 81	4	 93.00	28.154	14.077	44.800	DARK	0.750874111	.
112L1	 82	4	 79.50	25.093	12.547	39.929	DARK	0.004551940	***
112L1	 83	4	 75.00	24.549	12.275	39.063	DARK	0.158704547	.
112L1	 84	4	 76.00	26.721	13.360	42.519	DARK	0.171576911	.
112L1	 85	4	 80.50	27.012	13.506	42.983	DARK	0.237195194	.
112L1	 86	4	 85.50	27.258	13.629	43.374	DARK	0.375859870	.
112L1	 87	4	 85.50	24.933	12.467	39.674	LIGHT	0.968219902	.
112L1	 88	4	 68.25	18.697	 9.349	29.751	LIGHT	0.420837644	.
112L1	 89	4	 66.00	32.944	16.472	52.422	LIGHT	0.596268846	.
112L1	 90	4	 66.00	19.613	 9.806	31.209	LIGHT	0.010552348	*
112L1	 91	4	 64.00	26.179	13.089	41.656	LIGHT	0.147607310	.
112L1	 92	4	 58.00	27.240	13.620	43.344	LIGHT	0.163388745	.
112L1	 93	4	 50.00	11.518	 5.759	18.328	LIGHT	0.052620246	.
112L1	 94	4	 63.00	13.191	 6.595	20.990	LIGHT	0.391603357	.
112L1	 95	4	 52.00	 3.162	 1.581	 5.032	LIGHT	0.085749489	.
112L1	 96	4	 57.75	12.894	 6.447	20.517	LIGHT	0.230126988	.
112L1	 97	4	 57.75	25.316	12.658	40.284	LIGHT	0.334364840	.
112L1	 98	4	 54.00	19.849	 9.925	31.585	LIGHT	0.558801531	.
112L1	 99	4	 59.00	11.916	 5.958	18.962	LIGHT	0.037178773	*
112L1	100	4	 57.75	10.563	 5.282	16.809	LIGHT	0.204639375	.
112L1	101	4	 51.50	12.152	 6.076	19.336	LIGHT	0.077925362	.
112L1	102	4	 56.50	 5.568	 2.784	 8.860	LIGHT	0.098490028	.
112L1	103	4	 56.00	18.673	 9.336	29.712	LIGHT	0.323158476	.
112L1	104	4	 58.25	17.914	 8.957	28.505	LIGHT	0.129605545	.
112L1	105	4	 58.00	16.186	 8.093	25.756	DARK	0.290570914	.
112L1	106	4	 78.00	12.987	 6.494	20.665	DARK	0.401710887	.
112L1	107	4	 82.50	20.355	10.178	32.390	DARK	0.978279270	.
112L1	108	4	 77.00	10.231	 5.115	16.279	DARK	0.696654091	.
112L1	109	4	 80.75	16.419	 8.209	26.126	DARK	0.927399616	.
112L1	110	4	 89.75	12.920	 6.460	20.558	DARK	0.875083381	.
112L1	111	4	 79.25	19.602	 9.801	31.192	DARK	0.512347293	.
112L2	  1	4	 88.75	23.585	11.792	37.529	DARK	0.445356637	.
112L2	  2	4	 94.25	28.147	14.073	44.788	DARK	0.536490431	.
112L2	  3	4	 95.50	32.879	16.439	52.317	DARK	0.769938885	.
112L2	  4	4	 97.25	24.918	12.459	39.650	DARK	0.374372263	.
112L2	  5	4	104.75	 6.994	 3.497	11.129	DARK	0.022464457	*
112L2	  6	4	110.00	22.346	11.173	35.557	DARK	0.018955306	*
112L2	  7	4	 99.00	21.087	10.544	33.554	DARK	0.089378160	.
112L2	  8	4	107.25	23.386	11.693	37.213	DARK	0.062592332	.
112L2	  9	4	 97.00	21.909	10.954	34.862	DARK	0.061604800	.
112L2	 10	4	 89.75	11.087	 5.543	17.642	DARK	0.047790747	*
112L2	 11	4	105.75	 2.363	 1.181	 3.760	DARK	0.029989964	*
112L2	 12	4	109.50	22.664	11.332	36.064	DARK	0.008337648	**
112L2	 13	4	 92.50	13.820	 6.910	21.991	LIGHT	0.006325479	**
112L2	 14	4	110.50	21.048	10.524	33.491	LIGHT	0.112616951	.
112L2	 15	4	 87.00	12.111	 6.055	19.271	LIGHT	0.358929496	.
112L2	 16	4	 85.25	21.484	10.742	34.187	LIGHT	0.020717555	*
112L2	 17	4	 96.75	32.108	16.054	51.091	LIGHT	0.014687247	*
112L2	 18	4	 91.00	27.313	13.657	43.461	LIGHT	0.141975745	.
