Genotype	TimePoint	N	RER	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	104	4	0.845	0.046	0.023	0.073	LIGHT	0.52972172	.
112L2	105	4	0.855	0.034	0.017	0.055	DARK	0.01190056	*
112L2	106	4	0.854	0.027	0.014	0.043	DARK	0.13983784	.
112L2	107	4	0.857	0.080	0.040	0.127	DARK	0.11523589	.
112L2	108	4	0.883	0.089	0.045	0.142	DARK	0.21301344	.
112L2	109	4	0.853	0.088	0.044	0.140	DARK	0.13060254	.
112L2	110	4	0.869	0.086	0.043	0.137	DARK	0.16834498	.
112L2	111	4	0.858	0.099	0.049	0.157	DARK	0.12722551	.
WT	  1	4	0.918	0.069	0.035	0.110	DARK	0.44525481	.
WT	  2	4	0.925	0.087	0.043	0.138	DARK	0.54951613	.
WT	  3	4	0.935	0.052	0.026	0.083	DARK	0.56142519	.
WT	  4	4	0.931	0.047	0.023	0.075	DARK	0.69838605	.
WT	  5	4	0.925	0.046	0.023	0.073	DARK	0.89508316	.
WT	  6	4	0.870	0.065	0.032	0.103	DARK	0.60239222	.
WT	  7	4	0.895	0.054	0.027	0.086	DARK	0.92019625	.
WT	  8	4	0.855	0.029	0.014	0.045	DARK	0.19361510	.
WT	  9	4	0.889	0.068	0.034	0.109	DARK	0.81860081	.
WT	 10	4	0.884	0.057	0.029	0.091	DARK	0.76276464	.
WT	 11	4	0.881	0.064	0.032	0.102	DARK	0.77630978	.
WT	 12	4	0.903	0.088	0.044	0.139	DARK	0.85653009	.
WT	 13	4	0.874	0.071	0.035	0.113	LIGHT	0.61578315	.
WT	 14	4	0.902	0.070	0.035	0.112	LIGHT	0.29351760	.
WT	 15	4	0.910	0.053	0.026	0.084	LIGHT	0.08177382	.
WT	 16	4	0.894	0.073	0.036	0.116	LIGHT	0.31251978	.
WT	 17	4	0.875	0.062	0.031	0.099	LIGHT	0.49260206	.
WT	 18	4	0.864	0.041	0.021	0.066	LIGHT	0.64169473	.
WT	 19	4	0.817	0.062	0.031	0.099	LIGHT	0.44240415	.
WT	 20	4	0.825	0.049	0.024	0.077	LIGHT	0.30448424	.
WT	 21	4	0.784	0.022	0.011	0.036	LIGHT	0.22922424	.
