Genotype	TimePoint	N	VO2.3.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	 85.00	 8.367	 4.183	13.313	DARK	0.342544671	.
112L1	  2	4	 86.50	25.878	12.939	41.178	DARK	0.434804001	.
112L1	  3	4	 90.50	24.678	12.339	39.268	DARK	0.625677899	.
112L1	  4	4	 85.25	17.037	 8.518	27.109	DARK	0.197376035	.
112L1	  5	4	 86.50	13.988	 6.994	22.258	DARK	0.007635892	**
112L1	  6	4	 89.75	14.886	 7.443	23.686	DARK	0.003102820	***
112L1	  7	4	 84.75	20.353	10.177	32.386	DARK	0.058115151	.
112L1	  8	4	 85.00	24.833	12.416	39.514	DARK	0.089904663	.
112L1	  9	4	 75.25	15.130	 7.565	24.075	DARK	0.025502966	*
112L1	 10	4	 79.00	12.728	 6.364	20.253	DARK	0.026240194	*
112L1	 11	4	 92.25	31.606	15.803	50.292	DARK	0.024112854	*
112L1	 12	4	 66.25	13.961	 6.981	22.215	DARK	0.006781939	**
112L1	 13	4	 57.25	11.786	 5.893	18.755	LIGHT	0.028668198	*
112L1	 14	4	 74.00	35.270	17.635	56.123	LIGHT	0.135337361	.
112L1	 15	4	 78.00	12.055	 6.028	19.183	LIGHT	0.795305219	.
112L1	 16	4	 58.75	11.266	 5.633	17.926	LIGHT	0.042725496	*
112L1	 17	4	 48.75	15.370	 7.685	24.458	LIGHT	0.010510651	*
112L1	 18	4	 57.25	25.052	12.526	39.863	LIGHT	0.133351690	.
112L1	 19	4	 66.00	11.916	 5.958	18.962	LIGHT	0.106046257	.
112L1	 20	4	 54.50	 7.594	 3.797	12.084	LIGHT	0.074293985	.
112L1	 21	4	 67.75	15.262	 7.631	24.285	LIGHT	0.013135190	*
112L1	 22	4	 59.00	 3.559	 1.780	 5.663	LIGHT	0.063929161	.
112L1	 23	4	 56.25	 5.737	 2.869	 9.129	LIGHT	0.012275942	*
112L1	 24	4	 74.00	19.681	 9.840	31.317	LIGHT	0.657153053	.
112L1	 25	4	 75.50	19.824	 9.912	31.545	LIGHT	0.871073562	.
112L1	 26	4	 66.00	16.833	 8.416	26.784	LIGHT	0.091404835	.
112L1	 27	4	 64.25	13.200	 6.600	21.005	LIGHT	0.270464980	.
112L1	 28	4	 60.00	11.284	 5.642	17.956	LIGHT	0.054833938	.
112L1	 29	4	 58.50	 7.506	 3.753	11.943	LIGHT	0.048121928	*
112L1	 30	4	 71.25	14.315	 7.157	22.778	LIGHT	0.112617797	.
112L1	 31	4	 70.00	19.425	 9.713	30.910	LIGHT	0.290233780	.
