Genotype	TimePoint	N	Temp	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 73	4	21.650	0.436	0.218	0.694	DARK	0.7015143	.
112L1	 74	4	21.700	0.408	0.204	0.650	DARK	0.6209193	.
112L1	 75	4	21.675	0.427	0.214	0.680	DARK	0.6905447	.
112L1	 76	4	21.675	0.427	0.214	0.680	DARK	0.6362795	.
112L1	 77	4	21.675	0.419	0.210	0.667	DARK	0.5953985	.
112L1	 78	4	21.650	0.436	0.218	0.694	DARK	0.5515957	.
112L1	 79	4	21.650	0.436	0.218	0.694	DARK	0.6712546	.
112L1	 80	4	21.650	0.436	0.218	0.694	DARK	0.7585075	.
112L1	 81	4	21.650	0.436	0.218	0.694	DARK	0.7219804	.
112L1	 82	4	21.650	0.436	0.218	0.694	DARK	0.6703357	.
112L1	 83	4	21.650	0.436	0.218	0.694	DARK	0.6975423	.
112L1	 84	4	21.675	0.419	0.210	0.667	DARK	0.7576730	.
112L1	 85	4	21.650	0.436	0.218	0.694	DARK	0.6975423	.
112L1	 86	4	21.650	0.436	0.218	0.694	DARK	0.7804036	.
112L1	 87	4	21.650	0.436	0.218	0.694	LIGHT	0.7804036	.
112L1	 88	4	21.650	0.436	0.218	0.694	LIGHT	0.7898272	.
112L1	 89	4	21.650	0.436	0.218	0.694	LIGHT	0.6983450	.
112L1	 90	4	21.625	0.450	0.225	0.716	LIGHT	0.7010752	.
112L1	 91	4	21.625	0.450	0.225	0.716	LIGHT	0.7010752	.
112L1	 92	4	21.650	0.436	0.218	0.694	LIGHT	0.6792670	.
112L1	 93	4	21.625	0.450	0.225	0.716	LIGHT	0.7531793	.
112L1	 94	4	21.650	0.436	0.218	0.694	LIGHT	0.7562851	.
112L1	 95	4	21.700	0.408	0.204	0.650	LIGHT	0.8009253	.
112L1	 96	4	21.700	0.408	0.204	0.650	LIGHT	0.6478288	.
112L1	 97	4	21.700	0.408	0.204	0.650	LIGHT	0.7121067	.
112L1	 98	4	21.725	0.457	0.229	0.728	LIGHT	0.7783062	.
112L1	 99	4	21.725	0.457	0.229	0.728	LIGHT	0.7783062	.
112L1	100	4	21.725	0.403	0.202	0.641	LIGHT	0.7533472	.
112L1	101	4	21.725	0.457	0.229	0.728	LIGHT	0.7236735	.
112L1	102	4	21.725	0.457	0.229	0.728	LIGHT	0.7266483	.
112L1	103	4	21.725	0.457	0.229	0.728	LIGHT	0.6692885	.
112L1	104	4	21.725	0.457	0.229	0.728	LIGHT	0.7606356	.
112L1	105	4	21.725	0.457	0.229	0.728	DARK	0.6814861	.
112L1	106	4	21.725	0.457	0.229	0.728	DARK	0.8560683	.
112L1	107	4	21.725	0.479	0.239	0.762	DARK	0.8342620	.
112L1	108	4	21.700	0.432	0.216	0.687	DARK	0.8738663	.
112L1	109	4	21.725	0.435	0.217	0.692	DARK	0.9080714	.
112L1	110	4	21.725	0.435	0.217	0.692	DARK	0.8707874	.
112L1	111	4	21.725	0.435	0.217	0.692	DARK	0.8807669	.
112L2	  1	4	21.525	0.287	0.144	0.457	DARK	0.6697164	.
112L2	  2	4	21.525	0.287	0.144	0.457	DARK	0.7035311	.
112L2	  3	4	21.525	0.287	0.144	0.457	DARK	0.7432510	.
112L2	  4	4	21.525	0.287	0.144	0.457	DARK	0.7653944	.
112L2	  5	4	21.525	0.287	0.144	0.457	DARK	0.6509529	.
112L2	  6	4	21.525	0.287	0.144	0.457	DARK	0.6509529	.
112L2	  7	4	21.525	0.287	0.144	0.457	DARK	0.6672302	.
112L2	  8	4	21.550	0.238	0.119	0.379	DARK	0.6876836	.
112L2	  9	4	21.550	0.238	0.119	0.379	DARK	0.7052840	.
112L2	 10	4	21.525	0.287	0.144	0.457	DARK	0.7221356	.
112L2	 11	4	21.525	0.287	0.144	0.457	DARK	0.7007423	.
112L2	 12	4	21.525	0.287	0.144	0.457	DARK	0.7007423	.
112L2	 13	4	21.550	0.300	0.150	0.477	LIGHT	0.7540747	.
112L2	 14	4	21.550	0.238	0.119	0.379	LIGHT	0.7022348	.
112L2	 15	4	21.550	0.238	0.119	0.379	LIGHT	0.7022348	.
112L2	 16	4	21.525	0.236	0.118	0.376	LIGHT	0.6644739	.
112L2	 17	4	21.525	0.236	0.118	0.376	LIGHT	0.5741569	.
112L2	 18	4	21.475	0.189	0.095	0.301	LIGHT	0.5335263	.
112L2	 19	4	21.525	0.236	0.118	0.376	LIGHT	0.6644739	.
112L2	 20	4	21.550	0.238	0.119	0.379	LIGHT	0.7022348	.
112L2	 21	4	21.550	0.238	0.119	0.379	LIGHT	0.6843936	.
112L2	 22	4	21.525	0.222	0.111	0.353	LIGHT	0.6473180	.
112L2	 23	4	21.550	0.311	0.155	0.495	LIGHT	0.7196483	.
112L2	 24	4	21.575	0.320	0.160	0.509	LIGHT	0.8037811	.
112L2	 25	4	21.575	0.320	0.160	0.509	LIGHT	0.7071587	.
112L2	 26	4	21.600	0.271	0.135	0.431	LIGHT	0.8028754	.
112L2	 27	4	21.575	0.320	0.160	0.509	LIGHT	0.7071587	.
112L2	 28	4	21.575	0.320	0.160	0.509	LIGHT	0.6692885	.
112L2	 29	4	21.575	0.320	0.160	0.509	LIGHT	0.6692885	.
112L2	 30	4	21.525	0.359	0.180	0.572	LIGHT	0.6387954	.
112L2	 31	4	21.575	0.320	0.160	0.509	LIGHT	0.6692885	.
112L2	 32	4	21.600	0.356	0.178	0.566	DARK	0.7263229	.
112L2	 33	4	21.575	0.403	0.202	0.641	DARK	0.7608218	.
112L2	 34	4	21.625	0.435	0.217	0.692	DARK	0.8719779	.
112L2	 35	4	21.625	0.435	0.217	0.692	DARK	0.8658003	.
112L2	 36	4	21.625	0.499	0.250	0.794	DARK	0.8760234	.
112L2	 37	4	21.650	0.526	0.263	0.837	DARK	0.8889853	.
112L2	 38	4	21.625	0.499	0.250	0.794	DARK	0.8857003	.
112L2	 39	4	21.625	0.499	0.250	0.794	DARK	0.8466288	.
112L2	 40	4	21.600	0.497	0.248	0.790	DARK	0.8516205	.
112L2	 41	4	21.625	0.499	0.250	0.794	DARK	0.8466288	.
