Genotype	TimePoint	N	CO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	103	4	0.414	0.115	0.058	0.183	LIGHT	0.325868716	.
112L2	104	4	0.397	0.064	0.032	0.102	LIGHT	0.129711086	.
112L2	105	4	0.402	0.030	0.015	0.047	DARK	0.290711196	.
112L2	106	4	0.414	0.073	0.036	0.115	DARK	0.401316498	.
112L2	107	4	0.449	0.108	0.054	0.172	DARK	0.982230504	.
112L2	108	4	0.460	0.116	0.058	0.185	DARK	0.698353935	.
112L2	109	4	0.432	0.097	0.049	0.154	DARK	0.920383582	.
112L2	110	4	0.488	0.104	0.052	0.165	DARK	0.883585201	.
112L2	111	4	0.526	0.157	0.079	0.250	DARK	0.509557048	.
WT	  1	4	0.457	0.077	0.038	0.122	DARK	0.444012409	.
WT	  2	4	0.447	0.077	0.038	0.122	DARK	0.525628688	.
WT	  3	4	0.501	0.096	0.048	0.153	DARK	0.769688646	.
WT	  4	4	0.444	0.098	0.049	0.156	DARK	0.380242038	.
WT	  5	4	0.425	0.072	0.036	0.115	DARK	0.022626646	*
WT	  6	4	0.382	0.032	0.016	0.051	DARK	0.018761476	*
WT	  7	4	0.391	0.041	0.020	0.065	DARK	0.088008161	.
WT	  8	4	0.371	0.092	0.046	0.147	DARK	0.065084448	.
WT	  9	4	0.380	0.038	0.019	0.060	DARK	0.058692510	.
WT	 10	4	0.361	0.037	0.018	0.059	DARK	0.047256542	*
WT	 11	4	0.348	0.055	0.028	0.088	DARK	0.028430042	*
WT	 12	4	0.404	0.053	0.026	0.084	DARK	0.008666085	**
WT	 13	4	0.420	0.074	0.037	0.118	LIGHT	0.005930402	**
WT	 14	4	0.472	0.098	0.049	0.155	LIGHT	0.115141559	.
WT	 15	4	0.412	0.134	0.067	0.213	LIGHT	0.365181587	.
WT	 16	4	0.324	0.054	0.027	0.086	LIGHT	0.020711749	*
WT	 17	4	0.334	0.046	0.023	0.073	LIGHT	0.014620973	*
WT	 18	4	0.358	0.124	0.062	0.197	LIGHT	0.150102243	.
WT	 19	4	0.350	0.088	0.044	0.140	LIGHT	0.117684959	.
WT	 20	4	0.326	0.084	0.042	0.134	LIGHT	0.031176004	*
WT	 21	4	0.292	0.045	0.023	0.072	LIGHT	0.017225033	*
WT	 22	4	0.294	0.017	0.009	0.028	LIGHT	0.068564405	.
WT	 23	4	0.301	0.041	0.021	0.066	LIGHT	0.019675581	*
WT	 24	4	0.346	0.104	0.052	0.166	LIGHT	0.588505785	.
WT	 25	4	0.336	0.104	0.052	0.165	LIGHT	0.871776870	.
WT	 26	4	0.300	0.076	0.038	0.121	LIGHT	0.096960404	.
WT	 27	4	0.376	0.105	0.052	0.167	LIGHT	0.380380360	.
WT	 28	4	0.296	0.069	0.034	0.109	LIGHT	0.075764043	.
WT	 29	4	0.327	0.060	0.030	0.095	LIGHT	0.112283722	.
WT	 30	4	0.344	0.040	0.020	0.063	LIGHT	0.053246557	.
WT	 31	4	0.368	0.052	0.026	0.083	LIGHT	0.344759881	.
WT	 32	4	0.458	0.045	0.022	0.071	DARK	0.328255464	.
WT	 33	4	0.472	0.039	0.019	0.062	DARK	0.304390700	.
WT	 34	4	0.467	0.071	0.035	0.112	DARK	0.830074509	.
WT	 35	4	0.504	0.091	0.046	0.145	DARK	0.576323949	.
WT	 36	4	0.446	0.095	0.048	0.152	DARK	0.925206843	.
WT	 37	4	0.433	0.072	0.036	0.115	DARK	0.945854864	.
WT	 38	4	0.523	0.160	0.080	0.254	DARK	0.544743113	.
WT	 39	4	0.476	0.062	0.031	0.098	DARK	0.268496654	.
