Genotype	TimePoint	N	H.2.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	5.453	0.793	0.396	1.262	DARK	0.94663277	.
112L1	  2	4	5.474	1.225	0.612	1.949	DARK	0.91496369	.
112L1	  3	4	5.815	1.362	0.681	2.166	DARK	0.95982537	.
112L1	  4	4	5.496	0.859	0.429	1.366	DARK	0.74127642	.
112L1	  5	4	5.563	0.292	0.146	0.465	DARK	0.03419309	*
112L1	  6	4	5.812	0.872	0.436	1.387	DARK	0.02948433	*
112L1	  7	4	5.438	0.831	0.416	1.322	DARK	0.19513317	.
112L1	  8	4	5.400	1.073	0.536	1.707	DARK	0.21981372	.
112L1	  9	4	4.811	0.684	0.342	1.088	DARK	0.22071875	.
112L1	 10	4	5.186	1.320	0.660	2.101	DARK	0.25217198	.
112L1	 11	4	5.843	1.696	0.848	2.699	DARK	0.04428177	*
112L1	 12	4	4.252	0.753	0.377	1.198	DARK	0.04034179	*
112L1	 13	4	3.617	0.395	0.198	0.629	LIGHT	0.05687020	.
112L1	 14	4	4.651	2.090	1.045	3.326	LIGHT	0.41185178	.
112L1	 15	4	4.998	0.648	0.324	1.031	LIGHT	0.94315365	.
112L1	 16	4	3.708	0.230	0.115	0.366	LIGHT	0.13965249	.
112L1	 17	4	3.033	0.687	0.344	1.094	LIGHT	0.02947118	*
112L1	 18	4	3.644	1.531	0.765	2.436	LIGHT	0.40080953	.
112L1	 19	4	4.292	1.425	0.713	2.268	LIGHT	0.94216027	.
112L1	 20	4	3.507	0.670	0.335	1.067	LIGHT	0.58335528	.
112L1	 21	4	4.261	0.735	0.367	1.169	LIGHT	0.07290391	.
112L1	 22	4	3.744	0.513	0.257	0.816	LIGHT	0.31810051	.
112L1	 23	4	3.644	0.910	0.455	1.449	LIGHT	0.24165488	.
112L1	 24	4	4.807	1.830	0.915	2.912	LIGHT	0.87830413	.
112L1	 25	4	4.846	1.351	0.675	2.149	LIGHT	0.48902573	.
112L1	 26	4	4.216	0.953	0.476	1.516	LIGHT	0.36961138	.
112L1	 27	4	4.097	1.152	0.576	1.834	LIGHT	0.63798026	.
