Genotype	TimePoint	N	H.1.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	12.926	2.450	1.225	 3.899	DARK	0.67035694	.
112L1	  2	4	12.860	2.634	1.317	 4.192	DARK	0.87309820	.
112L1	  3	4	13.721	3.220	1.610	 5.124	DARK	0.78967050	.
112L1	  4	4	12.980	2.173	1.086	 3.457	DARK	0.72758342	.
112L1	  5	4	13.125	0.856	0.428	 1.362	DARK	0.05969877	.
112L1	  6	4	13.737	2.295	1.148	 3.652	DARK	0.04895967	*
112L1	  7	4	12.812	1.834	0.917	 2.919	DARK	0.20777126	.
112L1	  8	4	12.670	2.137	1.068	 3.400	DARK	0.25925680	.
112L1	  9	4	11.333	1.504	0.752	 2.393	DARK	0.37390839	.
112L1	 10	4	12.335	3.646	1.823	 5.802	DARK	0.28375475	.
112L1	 11	4	13.718	3.758	1.879	 5.979	DARK	0.04393252	*
112L1	 12	4	10.028	1.774	0.887	 2.822	DARK	0.09363746	.
112L1	 13	4	 8.522	0.838	0.419	 1.333	LIGHT	0.08949296	.
112L1	 14	4	10.920	4.767	2.384	 7.586	LIGHT	0.57118645	.
112L1	 15	4	11.828	1.969	0.984	 3.133	LIGHT	0.75995365	.
112L1	 16	4	 8.730	0.134	0.067	 0.212	LIGHT	0.24196123	.
112L1	 17	4	 7.107	1.384	0.692	 2.203	LIGHT	0.04382016	*
112L1	 18	4	 8.585	3.545	1.772	 5.640	LIGHT	0.55509761	.
112L1	 19	4	10.254	3.988	1.994	 6.345	LIGHT	0.97503517	.
112L1	 20	4	 8.323	1.970	0.985	 3.134	LIGHT	0.86960941	.
112L1	 21	4	10.061	1.836	0.918	 2.921	LIGHT	0.13161927	.
112L1	 22	4	 8.882	1.699	0.850	 2.704	LIGHT	0.52885654	.
112L1	 23	4	 8.683	2.681	1.341	 4.266	LIGHT	0.52885179	.
112L1	 24	4	11.489	4.921	2.461	 7.831	LIGHT	0.73682282	.
112L1	 25	4	11.482	3.383	1.691	 5.383	LIGHT	0.32997926	.
112L1	 26	4	 9.972	2.402	1.201	 3.823	LIGHT	0.42963249	.
112L1	 27	4	 9.748	3.163	1.581	 5.033	LIGHT	0.63521445	.
112L1	 28	4	 8.960	1.100	0.550	 1.750	LIGHT	0.56649398	.
112L1	 29	4	 9.012	2.757	1.378	 4.386	LIGHT	0.99109037	.
112L1	 30	4	10.558	1.326	0.663	 2.111	LIGHT	0.61930813	.
112L1	 31	4	10.528	2.343	1.171	 3.728	LIGHT	0.82344766	.
112L1	 32	4	11.748	3.287	1.643	 5.230	DARK	0.45027069	.
112L1	 33	4	13.918	1.316	0.658	 2.093	DARK	0.67990577	.
112L1	 34	4	12.848	1.975	0.988	 3.143	DARK	0.22288095	.
112L1	 35	4	13.958	2.009	1.005	 3.197	DARK	0.07842828	.
112L1	 36	4	13.390	2.783	1.392	 4.428	DARK	0.42445015	.
112L1	 37	4	11.938	2.973	1.487	 4.731	DARK	0.32020497	.
112L1	 38	4	12.710	1.303	0.651	 2.073	DARK	0.42981692	.
112L1	 39	4	11.787	2.212	1.106	 3.520	DARK	0.91792697	.
112L1	 40	4	12.188	2.186	1.093	 3.478	DARK	0.16884382	.
112L1	 41	4	13.345	2.234	1.117	 3.554	DARK	0.73745101	.
112L1	 42	4	13.689	1.997	0.998	 3.177	DARK	0.14147455	.
112L1	 43	4	13.124	2.051	1.026	 3.264	DARK	0.11880730	.
112L1	 44	4	14.179	1.614	0.807	 2.567	DARK	0.19724110	.
112L1	 45	4	13.267	3.869	1.934	 6.156	DARK	0.39138633	.
112L1	 46	4	12.572	4.115	2.058	 6.549	DARK	0.84675923	.
112L1	 47	4	 9.897	0.981	0.490	 1.561	DARK	0.52699239	.
112L1	 48	4	10.572	1.978	0.989	 3.147	DARK	0.59569105	.
112L1	 49	4	12.043	3.878	1.939	 6.171	DARK	0.52234310	.
112L1	 50	4	11.554	1.480	0.740	 2.354	LIGHT	0.89656459	.
112L1	 51	4	11.069	3.778	1.889	 6.012	LIGHT	0.72322593	.
112L1	 52	4	 8.414	3.224	1.612	 5.130	LIGHT	0.32887260	.
112L1	 53	4	10.041	2.028	1.014	 3.227	LIGHT	0.31286591	.
112L1	 54	4	 8.980	1.395	0.697	 2.220	LIGHT	0.33451031	.
112L1	 55	4	 9.771	3.932	1.966	 6.257	LIGHT	0.78378390	.
112L1	 56	4	 9.940	2.483	1.241	 3.950	LIGHT	0.67425471	.
