Genotype	TimePoint	N	VCO2.1.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	2251.50	 456.964	228.482	 727.132	DARK	0.73956518	.
112L1	  2	4	2300.75	 527.438	263.719	 839.272	DARK	0.92933622	.
112L1	  3	4	2520.75	 681.164	340.582	1083.885	DARK	0.78851420	.
112L1	  4	4	2377.50	 421.977	210.989	 671.460	DARK	0.85273815	.
112L1	  5	4	2417.50	 143.983	 71.991	 229.109	DARK	0.11824609	.
112L1	  6	4	2516.75	 516.268	258.134	 821.497	DARK	0.09173941	.
112L1	  7	4	2351.75	 376.534	188.267	 599.149	DARK	0.26125050	.
112L1	  8	4	2362.25	 438.650	219.325	 697.991	DARK	0.16675741	.
112L1	  9	4	2059.25	 418.627	209.314	 666.130	DARK	0.40999580	.
112L1	 10	4	2224.25	 690.093	345.047	1098.093	DARK	0.30072704	.
112L1	 11	4	2484.50	 798.587	399.294	1270.731	DARK	0.06889507	.
112L1	 12	4	1818.00	 411.841	205.920	 655.330	DARK	0.08951166	.
112L1	 13	4	1516.50	 221.729	110.864	 352.820	LIGHT	0.03371616	*
112L1	 14	4	1947.50	1011.518	505.759	1609.551	LIGHT	0.50967554	.
112L1	 15	4	2072.50	 179.314	 89.657	 285.329	LIGHT	0.96738720	.
112L1	 16	4	1516.25	 129.652	 64.826	 206.305	LIGHT	0.12889648	.
112L1	 17	4	1243.25	 363.680	181.840	 578.696	LIGHT	0.05123294	.
112L1	 18	4	1547.00	 758.385	379.192	1206.759	LIGHT	0.54865397	.
112L1	 19	4	1695.50	 647.717	323.859	1030.663	LIGHT	0.97807288	.
112L1	 20	4	1398.25	 311.959	155.979	 496.396	LIGHT	0.64265921	.
112L1	 21	4	1676.00	 319.035	159.518	 507.656	LIGHT	0.11383637	.
112L1	 22	4	1449.75	 229.815	114.907	 365.687	LIGHT	0.35673028	.
112L1	 23	4	1451.50	 399.096	199.548	 635.051	LIGHT	0.39439742	.
112L1	 24	4	1894.75	 815.202	407.601	1297.168	LIGHT	0.85097028	.
112L1	 25	4	1966.25	 671.562	335.781	1068.605	LIGHT	0.44591755	.
112L1	 26	4	1738.25	 430.070	215.035	 684.337	LIGHT	0.39311906	.
112L1	 27	4	1606.50	 546.574	273.287	 869.721	LIGHT	0.67666197	.
112L1	 28	4	1527.00	 178.768	 89.384	 284.460	LIGHT	0.68084155	.
112L1	 29	4	1557.50	 466.012	233.006	 741.529	LIGHT	0.99756812	.
112L1	 30	4	1773.25	 211.607	105.804	 336.714	LIGHT	0.40595229	.
112L1	 31	4	1873.50	 384.488	192.244	 611.806	LIGHT	0.80239303	.
112L1	 32	4	2068.75	 546.147	273.073	 869.041	DARK	0.37480745	.
112L1	 33	4	2475.50	 267.853	133.926	 426.213	DARK	0.68135186	.
112L1	 34	4	2349.25	 272.170	136.085	 433.082	DARK	0.25135591	.
112L1	 35	4	2559.25	 307.861	153.930	 489.875	DARK	0.04508382	*
112L1	 36	4	2409.25	 381.802	190.901	 607.532	DARK	0.44192875	.
112L1	 37	4	2169.25	 528.161	264.080	 840.421	DARK	0.25768963	.
112L1	 38	4	2327.00	 203.840	101.920	 324.355	DARK	0.27414567	.
112L1	 39	4	2099.00	 345.908	172.954	 550.418	DARK	0.73153719	.
112L1	 40	4	2190.50	 458.773	229.386	 730.010	DARK	0.26337010	.
112L1	 41	4	2392.75	 239.856	119.928	 381.664	DARK	0.76854221	.
112L1	 42	4	2517.50	 338.681	169.341	 538.917	DARK	0.20721654	.
112L1	 43	4	2376.25	 442.263	221.131	 703.739	DARK	0.22552239	.
112L1	 44	4	2626.25	 366.238	183.119	 582.766	DARK	0.33109374	.
112L1	 45	4	2436.25	 781.670	390.835	1243.812	DARK	0.54902024	.
112L1	 46	4	2334.75	 828.078	414.039	1317.657	DARK	0.88539077	.
112L1	 47	4	1823.75	 270.846	135.423	 430.977	DARK	0.57328301	.
112L1	 48	4	1919.75	 266.852	133.426	 424.622	DARK	0.54618854	.
112L1	 49	4	2222.50	 724.790	362.395	1153.302	DARK	0.41324493	.
112L1	 50	4	2102.25	 200.176	100.088	 318.524	LIGHT	0.79272071	.
112L1	 51	4	2070.75	 773.483	386.742	1230.784	LIGHT	0.78254919	.
112L1	 52	4	1597.25	 633.560	316.780	1008.135	LIGHT	0.41037877	.
112L1	 53	4	1803.00	 286.324	143.162	 455.605	LIGHT	0.25961616	.
112L1	 54	4	1638.00	 321.209	160.605	 511.115	LIGHT	0.28967694	.
112L1	 55	4	1709.25	 638.441	319.221	1015.902	LIGHT	0.61286291	.
112L1	 56	4	1725.75	 351.429	175.714	 559.202	LIGHT	0.34190866	.
112L1	 57	4	1863.25	 546.726	273.363	 869.963	LIGHT	0.29738553	.
112L1	 58	4	1910.50	 642.106	321.053	1021.734	LIGHT	0.88304599	.
112L1	 59	4	1604.50	 375.984	187.992	 598.274	LIGHT	0.45588982	.
112L1	 60	4	1716.25	 328.169	164.085	 522.190	LIGHT	0.53106582	.
112L1	 61	4	1556.50	 337.552	168.776	 537.121	LIGHT	0.49659256	.
112L1	 62	4	1687.00	 519.874	259.937	 827.235	LIGHT	0.77834968	.
112L1	 63	4	1442.75	 352.176	176.088	 560.391	LIGHT	0.84870428	.
112L1	 64	4	1575.75	 376.653	188.327	 599.339	LIGHT	0.49378042	.
112L1	 65	4	1381.75	 297.658	148.829	 473.640	LIGHT	0.11102252	.
112L1	 66	4	2330.75	1186.122	593.061	1887.385	LIGHT	0.44032649	.
112L1	 67	4	1784.50	 338.363	169.182	 538.411	LIGHT	0.37579316	.
112L1	 68	4	1836.75	 515.698	257.849	 820.591	LIGHT	0.21660857	.
112L1	 69	4	2259.50	  70.021	 35.011	 111.420	DARK	0.09686460	.
112L1	 70	4	2186.25	 342.424	171.212	 544.873	DARK	0.16322285	.
112L1	 71	4	2285.00	 226.664	113.332	 360.673	DARK	0.57863037	.
112L1	 72	4	2436.75	 544.229	272.114	 865.989	DARK	0.81069904	.
112L1	 73	4	2486.50	 325.634	162.817	 518.157	DARK	0.35022808	.
112L1	 74	4	2393.25	 244.849	122.424	 389.609	DARK	0.27299292	.
112L1	 75	4	2367.00	 332.218	166.109	 528.633	DARK	0.28369075	.
112L1	 76	4	2380.25	 202.022	101.011	 321.462	DARK	0.11582700	.
112L1	 77	4	2564.50	 266.764	133.382	 424.481	DARK	0.54055730	.
112L1	 78	4	2612.75	 489.685	244.843	 779.198	DARK	0.45990377	.
112L1	 79	4	2514.50	 586.438	293.219	 933.154	DARK	0.38016612	.
112L1	 80	4	2512.00	 656.077	328.038	1043.964	DARK	0.78842393	.
112L1	 81	4	2801.00	 473.802	236.901	 753.925	DARK	0.17393785	.
112L1	 82	4	2383.50	 355.322	177.661	 565.396	DARK	0.02735667	*
112L1	 83	4	2245.25	 421.491	210.746	 670.687	DARK	0.71566014	.
112L1	 84	4	2250.50	 490.138	245.069	 779.919	DARK	0.45257094	.
112L1	 85	4	2395.75	 550.342	275.171	 875.717	DARK	0.46982220	.
112L1	 86	4	2551.25	 466.455	233.227	 742.234	DARK	0.57808723	.
112L1	 87	4	2552.50	 376.855	188.427	 599.660	LIGHT	0.21255693	.
112L1	 88	4	2060.75	 289.273	144.637	 460.298	LIGHT	0.90517108	.
112L1	 89	4	1933.75	 683.368	341.684	1087.391	LIGHT	0.81473103	.
112L1	 90	4	1991.00	 322.636	161.318	 513.386	LIGHT	0.05243816	.
112L1	 91	4	1890.25	 608.159	304.080	 967.717	LIGHT	0.70370992	.
112L1	 92	4	1722.50	 692.827	346.413	1102.442	LIGHT	0.57359164	.
112L1	 93	4	1522.75	 137.095	 68.547	 218.148	LIGHT	0.18982317	.
112L1	 94	4	1911.25	 124.302	 62.151	 197.792	LIGHT	0.96206084	.
112L1	 95	4	1630.00	 318.646	159.323	 507.037	LIGHT	0.44501227	.
112L1	 96	4	1780.00	 329.042	164.521	 523.579	LIGHT	0.47847764	.
112L1	 97	4	1720.00	 506.358	253.179	 805.728	LIGHT	0.57216602	.
112L1	 98	4	1618.75	 383.544	191.772	 610.305	LIGHT	0.58489251	.
112L1	 99	4	1855.25	 551.067	275.534	 876.871	LIGHT	0.23021227	.
112L1	100	4	1798.00	 353.696	176.848	 562.809	LIGHT	0.28522017	.
112L1	101	4	1593.50	 368.330	184.165	 586.095	LIGHT	0.53480250	.
112L1	102	4	1758.00	 343.499	171.749	 546.583	LIGHT	0.97518830	.
112L1	103	4	1726.50	 505.804	252.902	 804.847	LIGHT	0.88944866	.
112L1	104	4	1743.50	 254.187	127.093	 404.468	LIGHT	0.02464917	*
112L1	105	4	1790.25	 457.249	228.624	 727.585	DARK	0.72118462	.
112L1	106	4	2393.75	 274.199	137.099	 436.311	DARK	0.04428100	*
112L1	107	4	2484.25	 257.896	128.948	 410.370	DARK	0.22461626	.
112L1	108	4	2367.50	 169.057	 84.529	 269.008	DARK	0.21326200	.
112L1	109	4	2463.75	 231.818	115.909	 368.874	DARK	0.06055291	.
112L1	110	4	2754.50	 178.278	 89.139	 283.680	DARK	0.05314099	.
112L1	111	4	2413.25	 331.324	165.662	 527.210	DARK	0.44882205	.
112L2	  1	4	2033.00	 479.162	239.581	 762.454	DARK	0.73956518	.
112L2	  2	4	2164.50	 632.408	316.204	1006.302	DARK	0.92933622	.
112L2	  3	4	2214.00	 835.460	417.730	1329.404	DARK	0.78851420	.
112L2	  4	4	2238.25	 594.010	297.005	 945.202	DARK	0.85273815	.
112L2	  5	4	2415.75	 257.979	128.989	 410.501	DARK	0.11824609	.
112L2	  6	4	2543.50	 608.285	304.143	 967.918	DARK	0.09173941	.
112L2	  7	4	2296.25	 567.553	283.777	 903.104	DARK	0.26125050	.
112L2	  8	4	2484.00	 633.390	316.695	1007.865	DARK	0.16675741	.
112L2	  9	4	2240.50	 541.584	270.792	 861.782	DARK	0.40999580	.
112L2	 10	4	2067.25	 255.281	127.640	 406.209	DARK	0.30072704	.
112L2	 11	4	2436.00	  77.773	 38.887	 123.754	DARK	0.06889507	.
112L2	 12	4	2515.00	 491.684	245.842	 782.378	DARK	0.08951166	.
112L2	 13	4	2121.75	 241.166	120.583	 383.749	LIGHT	0.03371616	*
112L2	 14	4	2544.50	 492.846	246.423	 784.228	LIGHT	0.50967554	.
112L2	 15	4	1995.25	 230.879	115.439	 367.379	LIGHT	0.96738720	.
112L2	 16	4	1964.75	 478.283	239.141	 761.054	LIGHT	0.12889648	.
112L2	 17	4	2230.50	 746.226	373.113	1187.413	LIGHT	0.05123294	.
112L2	 18	4	2081.50	 601.772	300.886	 957.554	LIGHT	0.54865397	.
112L2	 19	4	1748.25	 221.856	110.928	 353.023	LIGHT	0.97807288	.
112L2	 20	4	1627.25	 168.735	 84.368	 268.495	LIGHT	0.64265921	.
112L2	 21	4	1907.25	 431.495	215.747	 686.604	LIGHT	0.11383637	.
112L2	 22	4	1804.25	 708.492	354.246	1127.369	LIGHT	0.35673028	.
112L2	 23	4	1747.00	 442.611	221.306	 704.293	LIGHT	0.39439742	.
112L2	 24	4	1675.25	 483.206	241.603	 768.889	LIGHT	0.85097028	.
112L2	 25	4	1492.25	 153.194	 76.597	 243.765	LIGHT	0.44591755	.
112L2	 26	4	1671.75	  68.602	 34.301	 109.161	LIGHT	0.39311906	.
112L2	 27	4	1524.00	 368.479	184.239	 586.332	LIGHT	0.67666197	.
112L2	 28	4	1523.50	  75.554	 37.777	 120.222	LIGHT	0.68084155	.
112L2	 29	4	1570.00	 390.863	195.432	 621.950	LIGHT	0.99756812	.
112L2	 30	4	2021.00	 576.077	288.038	 916.667	LIGHT	0.40595229	.
112L2	 31	4	1731.00	 237.661	118.830	 378.171	LIGHT	0.80239303	.
112L2	 32	4	1821.00	 508.070	254.035	 808.453	DARK	0.37480745	.
112L2	 33	4	2239.00	 535.045	267.523	 851.376	DARK	0.68135186	.
112L2	 34	4	1902.00	 496.396	248.198	 789.876	DARK	0.25135591	.
112L2	 35	4	1853.25	 334.239	167.119	 531.849	DARK	0.04508382	*
112L2	 36	4	1938.50	 564.098	282.049	 897.606	DARK	0.44192875	.
112L2	 37	4	1677.50	 341.944	170.972	 544.109	DARK	0.25768963	.
112L2	 38	4	1894.50	 449.541	224.770	 715.320	DARK	0.27414567	.
112L2	 39	4	2196.50	 598.520	299.260	 952.378	DARK	0.73153719	.
112L2	 40	4	2398.50	 537.954	268.977	 856.006	DARK	0.26337010	.
112L2	 41	4	2178.25	 557.065	278.532	 886.414	DARK	0.76854221	.
112L2	 42	4	2520.50	 363.931	181.965	 579.095	DARK	0.20721654	.
112L2	 43	4	2326.75	 591.752	295.876	 941.610	DARK	0.22552239	.
112L2	 44	4	2462.75	 558.407	279.204	 888.551	DARK	0.33109374	.
112L2	 45	4	2092.25	 505.444	252.722	 804.274	DARK	0.54902024	.
112L2	 46	4	2124.50	 656.091	328.045	1043.987	DARK	0.88539077	.
112L2	 47	4	2084.50	 391.567	195.783	 623.070	DARK	0.57328301	.
112L2	 48	4	2311.00	 651.840	325.920	1037.223	DARK	0.54618854	.
112L2	 49	4	2539.25	 366.797	183.399	 583.656	DARK	0.41324493	.
112L2	 50	4	2349.50	 630.243	315.121	1002.857	LIGHT	0.79272071	.
112L2	 51	4	1815.75	 458.162	229.081	 729.038	LIGHT	0.78254919	.
112L2	 52	4	2093.25	 258.101	129.051	 410.697	LIGHT	0.41037877	.
112L2	 53	4	2185.75	 419.179	209.589	 667.007	LIGHT	0.25961616	.
112L2	 54	4	2111.25	 578.922	289.461	 921.194	LIGHT	0.28967694	.
112L2	 55	4	2007.00	 527.879	263.940	 839.974	LIGHT	0.61286291	.
112L2	 56	4	1863.50	 279.750	139.875	 445.145	LIGHT	0.34190866	.
112L2	 57	4	1881.75	 287.995	143.997	 458.264	LIGHT	0.29738553	.
112L2	 58	4	1716.00	 383.102	191.551	 609.601	LIGHT	0.88304599	.
112L2	 59	4	2083.75	 995.870	497.935	1584.652	LIGHT	0.45588982	.
112L2	 60	4	1707.00	 503.155	251.578	 800.632	LIGHT	0.53106582	.
112L2	 61	4	1636.00	 366.595	183.298	 583.335	LIGHT	0.49659256	.
112L2	 62	4	1457.50	 259.104	129.552	 412.293	LIGHT	0.77834968	.
112L2	 63	4	1600.25	 482.581	241.290	 767.894	LIGHT	0.84870428	.
112L2	 64	4	1709.00	 173.563	 86.781	 276.177	LIGHT	0.49378042	.
112L2	 65	4	2002.00	 526.914	263.457	 838.437	LIGHT	0.11102252	.
112L2	 66	4	1719.25	 227.246	113.623	 361.600	LIGHT	0.44032649	.
112L2	 67	4	1534.50	 159.128	 79.564	 253.208	LIGHT	0.37579316	.
112L2	 68	4	1472.25	 175.969	 87.984	 280.005	LIGHT	0.21660857	.
112L2	 69	4	1702.00	 264.857	132.429	 421.447	DARK	0.09686460	.
112L2	 70	4	1861.00	 684.225	342.112	1088.754	DARK	0.16322285	.
112L2	 71	4	2136.00	 418.180	209.090	 665.418	DARK	0.57863037	.
112L2	 72	4	2212.75	 629.672	314.836	1001.948	DARK	0.81069904	.
112L2	 73	4	2091.25	 643.357	321.679	1023.725	DARK	0.35022808	.
112L2	 74	4	2026.75	 616.576	308.288	 981.110	DARK	0.27299292	.
112L2	 75	4	1964.75	 328.255	164.128	 522.328	DARK	0.28369075	.
112L2	 76	4	2030.50	 191.427	 95.714	 304.603	DARK	0.11582700	.
112L2	 77	4	2398.50	 587.292	293.646	 934.513	DARK	0.54055730	.
112L2	 78	4	2558.00	 316.063	158.032	 502.927	DARK	0.45990377	.
112L2	 79	4	2414.00	 355.229	177.614	 565.248	DARK	0.38016612	.
112L2	 80	4	2367.75	 442.436	221.218	 704.014	DARK	0.78842393	.
112L2	 81	4	2195.50	 424.423	212.212	 675.352	DARK	0.17393785	.
112L2	 82	4	2967.50	 183.458	 91.729	 291.923	DARK	0.02735667	*
112L2	 83	4	2341.00	 497.047	248.523	 790.912	DARK	0.71566014	.
112L2	 84	4	2206.00	 408.030	204.015	 649.267	DARK	0.45257094	.
112L2	 85	4	2282.25	 594.849	297.424	 946.537	DARK	0.46982220	.
112L2	 86	4	2350.50	 509.043	254.521	 810.000	DARK	0.57808723	.
112L2	 87	4	1935.75	 362.884	181.442	 577.430	LIGHT	0.21255693	.
112L2	 88	4	1944.50	 202.103	101.052	 321.591	LIGHT	0.90517108	.
112L2	 89	4	1930.50	 475.558	237.779	 756.718	LIGHT	0.81473103	.
112L2	 90	4	2464.50	 409.017	204.509	 650.838	LIGHT	0.05243816	.
112L2	 91	4	2167.25	 381.625	190.812	 607.250	LIGHT	0.70370992	.
112L2	 92	4	2051.25	 627.307	313.654	 998.186	LIGHT	0.57359164	.
112L2	 93	4	2144.25	 826.956	413.478	1315.871	LIGHT	0.18982317	.
112L2	 94	4	1955.25	 574.635	287.318	 914.373	LIGHT	0.96206084	.
112L2	 95	4	1532.00	 294.348	147.174	 468.373	LIGHT	0.44501227	.
112L2	 96	4	1675.50	 545.367	272.684	 867.801	LIGHT	0.47847764	.
112L2	 97	4	1691.00	 493.077	246.538	 784.595	LIGHT	0.57216602	.
112L2	 98	4	1429.25	 220.341	110.171	 350.612	LIGHT	0.58489251	.
112L2	 99	4	1707.00	 337.786	168.893	 537.493	LIGHT	0.23021227	.
112L2	100	4	1537.50	 261.220	130.610	 415.659	LIGHT	0.28522017	.
112L2	101	4	1529.00	 232.213	116.106	 369.502	LIGHT	0.53480250	.
112L2	102	4	1795.75	 253.229	126.614	 402.944	LIGHT	0.97518830	.
