Genotype	TimePoint	N	VCO2.2.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 80	4	1072.75	309.206	154.603	492.015	DARK	0.87647861	.
112L1	 81	4	1193.50	238.773	119.386	379.940	DARK	0.37241952	.
112L1	 82	4	1016.50	193.519	 96.760	307.932	DARK	0.01598933	*
112L1	 83	4	 957.50	212.296	106.148	337.811	DARK	0.54366758	.
112L1	 84	4	 962.25	242.769	121.385	386.300	DARK	0.42617111	.
112L1	 85	4	1023.50	263.355	131.677	419.056	DARK	0.46790793	.
112L1	 86	4	1089.75	237.007	118.503	377.131	DARK	0.66003736	.
112L1	 87	4	1088.75	200.586	100.293	319.178	LIGHT	0.41971359	.
112L1	 88	4	 877.25	148.879	 74.439	236.899	LIGHT	0.99338252	.
112L1	 89	4	 828.50	324.029	162.015	515.603	LIGHT	0.83569888	.
112L1	 90	4	 846.50	158.401	 79.201	252.052	LIGHT	0.03176536	*
112L1	 91	4	 809.75	279.375	139.687	444.548	LIGHT	0.50504963	.
112L1	 92	4	 736.25	308.231	154.115	490.464	LIGHT	0.43251974	.
112L1	 93	4	 647.25	 76.670	 38.335	121.999	LIGHT	0.13146184	.
112L1	 94	4	 811.75	 70.585	 35.293	112.317	LIGHT	0.86931159	.
112L1	 95	4	 687.00	 96.225	 48.113	153.116	LIGHT	0.44998245	.
112L1	 96	4	 753.25	127.657	 63.828	203.130	LIGHT	0.48737769	.
112L1	 97	4	 734.50	242.364	121.182	385.655	LIGHT	0.55305275	.
112L1	 98	4	 689.00	181.065	 90.533	288.115	LIGHT	0.78037414	.
112L1	 99	4	 781.00	199.029	 99.515	316.700	LIGHT	0.18677521	.
112L1	100	4	 759.50	125.832	 62.916	200.227	LIGHT	0.38789698	.
112L1	101	4	 673.25	140.678	 70.339	223.850	LIGHT	0.45535884	.
112L1	102	4	 741.75	106.934	 53.467	170.156	LIGHT	0.73541264	.
112L1	103	4	 730.25	208.025	104.012	331.014	LIGHT	0.81193473	.
112L1	104	4	 742.75	137.092	 68.546	218.144	LIGHT	0.04892317	*
112L1	105	4	 757.00	181.363	 90.682	288.590	DARK	0.84050664	.
112L1	106	4	1013.50	 96.852	 48.426	154.113	DARK	0.07698103	.
112L1	107	4	1057.50	145.969	 72.985	232.270	DARK	0.40527553	.
112L1	108	4	1002.50	 28.243	 14.121	 44.941	DARK	0.36416073	.
112L1	109	4	1045.00	105.537	 52.768	167.932	DARK	0.15189097	.
112L1	110	4	1167.00	 35.749	 17.875	 56.885	DARK	0.13524755	.
112L1	111	4	1024.75	155.243	 77.621	247.026	DARK	0.54781271	.
112L2	  1	4	 929.50	225.794	112.897	359.289	DARK	0.92438338	.
112L2	  2	4	 988.50	289.561	144.781	460.756	DARK	0.98181425	.
112L2	  3	4	1009.00	371.527	185.764	591.183	DARK	0.92876306	.
112L2	  4	4	1021.50	267.787	133.893	426.108	DARK	0.88930837	.
112L2	  5	4	1102.00	106.605	 53.303	169.633	DARK	0.09304159	.
112L2	  6	4	1159.50	266.589	133.294	424.203	DARK	0.07016515	.
112L2	  7	4	1046.75	249.174	124.587	396.491	DARK	0.23977957	.
112L2	  8	4	1132.25	278.023	139.012	442.397	DARK	0.14552573	.
112L2	  9	4	1021.75	241.599	120.800	384.438	DARK	0.27660084	.
112L2	 10	4	 944.00	116.072	 58.036	184.696	DARK	0.26289201	.
