Genotype	TimePoint	N	O2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 84	4	20.433	0.107	0.053	0.170	DARK	0.090752297	.
112L1	 85	4	20.410	0.120	0.060	0.191	DARK	0.182680038	.
112L1	 86	4	20.382	0.106	0.053	0.169	DARK	0.303472898	.
112L1	 87	4	20.387	0.102	0.051	0.162	LIGHT	0.896894349	.
112L1	 88	4	20.470	0.073	0.036	0.115	LIGHT	0.412188840	.
112L1	 89	4	20.480	0.166	0.083	0.265	LIGHT	0.579552614	.
112L1	 90	4	20.477	0.095	0.048	0.151	LIGHT	0.009214199	**
112L1	 91	4	20.480	0.117	0.058	0.186	LIGHT	0.115114152	.
112L1	 92	4	20.515	0.127	0.063	0.201	LIGHT	0.116477743	.
112L1	 93	4	20.553	0.068	0.034	0.108	LIGHT	0.036410491	*
112L1	 94	4	20.480	0.066	0.033	0.106	LIGHT	0.406804216	.
112L1	 95	4	20.538	0.038	0.019	0.060	LIGHT	0.021602344	*
112L1	 96	4	20.502	0.083	0.041	0.131	LIGHT	0.199738936	.
112L1	 97	4	20.503	0.130	0.065	0.206	LIGHT	0.299677497	.
112L1	 98	4	20.528	0.092	0.046	0.147	LIGHT	0.481171132	.
112L1	 99	4	20.492	0.069	0.034	0.110	LIGHT	0.038845482	*
112L1	100	4	20.505	0.060	0.030	0.096	LIGHT	0.191619561	.
112L1	101	4	20.532	0.068	0.034	0.108	LIGHT	0.046510209	*
112L1	102	4	20.500	0.029	0.015	0.047	LIGHT	0.078427192	.
112L1	103	4	20.492	0.105	0.052	0.167	LIGHT	0.295452195	.
112L1	104	4	20.495	0.097	0.048	0.154	LIGHT	0.152591785	.
112L1	105	4	20.505	0.078	0.039	0.124	DARK	0.150310374	.
112L1	106	4	20.400	0.067	0.033	0.106	DARK	0.532614829	.
112L1	107	4	20.392	0.104	0.052	0.165	DARK	0.925108930	.
112L1	108	4	20.430	0.050	0.025	0.079	DARK	0.470189424	.
112L1	109	4	20.410	0.079	0.039	0.125	DARK	0.978698999	.
112L1	110	4	20.368	0.053	0.026	0.084	DARK	0.843110458	.
112L1	111	4	20.422	0.092	0.046	0.147	DARK	0.334843199	.
112L2	  1	4	20.348	0.114	0.057	0.182	DARK	0.366256470	.
112L2	  2	4	20.312	0.119	0.060	0.190	DARK	0.434084966	.
112L2	  3	4	20.310	0.122	0.061	0.194	DARK	0.646863604	.
112L2	  4	4	20.308	0.096	0.048	0.153	DARK	0.227670821	.
112L2	  5	4	20.270	0.029	0.015	0.047	DARK	0.008867388	**
112L2	  6	4	20.260	0.076	0.038	0.121	DARK	0.004569157	***
112L2	  7	4	20.310	0.067	0.033	0.106	DARK	0.061510949	.
