Genotype	TimePoint	N	dCO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 73	4	0.387	0.074	0.037	0.118	DARK	0.634726567	.
112L1	 74	4	0.377	0.098	0.049	0.156	DARK	0.719674504	.
112L1	 75	4	0.370	0.089	0.044	0.142	DARK	0.758957899	.
112L1	 76	4	0.373	0.081	0.040	0.128	DARK	0.207545493	.
112L1	 77	4	0.407	0.107	0.053	0.170	DARK	0.280918008	.
112L1	 78	4	0.414	0.137	0.069	0.218	DARK	0.146773928	.
112L1	 79	4	0.403	0.148	0.074	0.236	DARK	0.187203336	.
112L1	 80	4	0.402	0.149	0.075	0.237	DARK	0.568036661	.
112L1	 81	4	0.446	0.135	0.067	0.214	DARK	0.739859034	.
112L1	 82	4	0.380	0.119	0.060	0.189	DARK	0.004517060	***
112L1	 83	4	0.358	0.117	0.058	0.186	DARK	0.162951094	.
112L1	 84	4	0.362	0.128	0.064	0.203	DARK	0.172351276	.
112L1	 85	4	0.384	0.130	0.065	0.207	DARK	0.237585474	.
112L1	 86	4	0.409	0.129	0.065	0.206	DARK	0.375215008	.
112L1	 87	4	0.407	0.119	0.060	0.190	LIGHT	0.968681158	.
112L1	 88	4	0.326	0.090	0.045	0.143	LIGHT	0.435034191	.
112L1	 89	4	0.314	0.157	0.078	0.250	LIGHT	0.583680811	.
112L1	 90	4	0.314	0.094	0.047	0.150	LIGHT	0.011228346	*
112L1	 91	4	0.306	0.126	0.063	0.200	LIGHT	0.152069084	.
112L1	 92	4	0.277	0.130	0.065	0.207	LIGHT	0.163354244	.
112L1	 93	4	0.240	0.056	0.028	0.088	LIGHT	0.052275965	.
112L1	 94	4	0.300	0.064	0.032	0.101	LIGHT	0.396246507	.
112L1	 95	4	0.249	0.015	0.008	0.024	LIGHT	0.087398090	.
112L1	 96	4	0.276	0.062	0.031	0.099	LIGHT	0.240353218	.
112L1	 97	4	0.277	0.122	0.061	0.194	LIGHT	0.329072357	.
112L1	 98	4	0.256	0.094	0.047	0.150	LIGHT	0.544931965	.
112L1	 99	4	0.281	0.059	0.029	0.093	LIGHT	0.041286360	*
112L1	100	4	0.277	0.051	0.026	0.082	LIGHT	0.228822038	.
112L1	101	4	0.246	0.058	0.029	0.093	LIGHT	0.076277887	.
112L1	102	4	0.269	0.027	0.014	0.043	LIGHT	0.095849425	.
112L1	103	4	0.267	0.089	0.044	0.141	LIGHT	0.325868716	.
112L1	104	4	0.277	0.085	0.042	0.135	LIGHT	0.129699197	.
112L1	105	4	0.276	0.077	0.038	0.122	DARK	0.290711196	.
112L1	106	4	0.372	0.062	0.031	0.099	DARK	0.400792395	.
112L1	107	4	0.393	0.098	0.049	0.156	DARK	0.982230504	.
112L1	108	4	0.368	0.051	0.025	0.080	DARK	0.700658701	.
112L1	109	4	0.386	0.078	0.039	0.124	DARK	0.920538759	.
112L1	110	4	0.429	0.060	0.030	0.096	DARK	0.883585201	.
112L1	111	4	0.378	0.093	0.046	0.147	DARK	0.509557048	.
112L2	  1	4	0.423	0.111	0.056	0.177	DARK	0.444550010	.
112L2	  2	4	0.450	0.135	0.067	0.214	DARK	0.526888177	.
112L2	  3	4	0.456	0.157	0.078	0.250	DARK	0.769688646	.
112L2	  4	4	0.463	0.118	0.059	0.188	DARK	0.379979549	.
112L2	  5	4	0.500	0.034	0.017	0.054	DARK	0.022669168	*
112L2	  6	4	0.524	0.107	0.054	0.171	DARK	0.018761476	*
112L2	  7	4	0.473	0.101	0.050	0.160	DARK	0.086584033	.
112L2	  8	4	0.511	0.112	0.056	0.178	DARK	0.065084448	.
112L2	  9	4	0.462	0.104	0.052	0.165	DARK	0.059105321	.
