Genotype	TimePoint	N	VO2.2.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	  1	4	1117.00	160.023	 80.011	254.632	DARK	0.90908042	.
112L1	  2	4	1114.25	245.794	122.897	391.114	DARK	0.89284685	.
112L1	  3	4	1176.00	266.234	133.117	423.638	DARK	0.96708546	.
112L1	  4	4	1111.75	172.067	 86.033	273.796	DARK	0.69339041	.
112L1	  5	4	1123.75	 66.214	 33.107	105.361	DARK	0.03324746	*
112L1	  6	4	1175.75	163.220	 81.610	259.720	DARK	0.02232287	*
112L1	  7	4	1099.50	168.148	 84.074	267.561	DARK	0.19731566	.
112L1	  8	4	1087.50	212.723	106.361	338.489	DARK	0.25107561	.
112L1	  9	4	 975.25	120.245	 60.123	191.337	DARK	0.21581242	.
112L1	 10	4	1052.75	265.695	132.847	422.779	DARK	0.27094481	.
112L1	 11	4	1185.25	331.818	165.909	527.996	DARK	0.04210627	*
112L1	 12	4	 862.00	141.709	 70.854	225.490	DARK	0.04343769	*
112L1	 13	4	 737.00	 76.538	 38.269	121.788	LIGHT	0.07299042	.
112L1	 14	4	 947.00	407.113	203.557	647.808	LIGHT	0.42830517	.
112L1	 15	4	1022.00	150.300	 75.150	239.160	LIGHT	0.89954852	.
112L1	 16	4	 760.00	 42.403	 21.201	 67.472	LIGHT	0.16740444	.
112L1	 17	4	 620.75	129.183	 64.592	205.559	LIGHT	0.02856890	*
112L1	 18	4	 740.50	297.162	148.581	472.850	LIGHT	0.40189397	.
112L1	 19	4	 889.75	297.515	148.757	473.412	LIGHT	0.96404568	.
112L1	 20	4	 724.50	143.147	 71.573	227.778	LIGHT	0.65008815	.
112L1	 21	4	 881.50	150.918	 75.459	240.145	LIGHT	0.07655108	.
112L1	 22	4	 778.25	114.287	 57.144	181.857	LIGHT	0.35383074	.
112L1	 23	4	 753.75	194.203	 97.102	309.021	LIGHT	0.26426230	.
112L1	 24	4	 997.00	378.491	189.245	602.263	LIGHT	0.85749229	.
112L1	 25	4	 997.00	265.929	132.964	423.152	LIGHT	0.45875250	.
112L1	 26	4	 863.75	196.184	 98.092	312.173	LIGHT	0.38208246	.
112L1	 27	4	 850.00	237.230	118.615	377.486	LIGHT	0.63151723	.
112L1	 28	4	 781.25	 87.873	 43.936	139.825	LIGHT	0.37501454	.
