Genotype	TimePoint	N	CumZ	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 98	4	 5185.25	 1606.746	 803.373	 2556.692	LIGHT	0.6204741	.
WT	 99	4	 5185.25	 1606.746	 803.373	 2556.692	LIGHT	0.6190847	.
WT	100	4	 5185.25	 1606.746	 803.373	 2556.692	LIGHT	0.6185046	.
WT	101	4	 5193.50	 1619.377	 809.688	 2576.789	LIGHT	0.6142228	.
WT	102	4	 5198.75	 1627.010	 813.505	 2588.936	LIGHT	0.6133560	.
WT	103	4	 5213.25	 1606.947	 803.473	 2557.011	LIGHT	0.6131072	.
WT	104	4	 5236.25	 1615.158	 807.579	 2570.076	LIGHT	0.6143882	.
WT	105	4	 5252.75	 1601.240	 800.620	 2547.931	DARK	0.6170828	.
WT	106	4	 5386.25	 1623.739	 811.869	 2583.731	DARK	0.6242784	.
WT	107	4	 5493.25	 1713.702	 856.851	 2726.883	DARK	0.6293649	.
WT	108	4	 5714.50	 1760.028	 880.014	 2800.598	DARK	0.6359979	.
WT	109	4	 5775.75	 1842.967	 921.484	 2932.572	DARK	0.6395293	.
WT	110	4	 5846.00	 1845.557	 922.778	 2936.692	DARK	0.6383511	.
WT	111	4	 6056.00	 2023.495	1011.748	 3219.832	DARK	0.6444063	.
