Genotype	TimePoint	N	CenF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 77	4	 503.00	113.827	 56.914	 181.125	DARK	0.2935743114	.
112L1	 78	4	 706.00	187.063	 93.532	 297.659	DARK	0.1159636161	.
112L1	 79	4	 663.50	575.088	287.544	 915.094	DARK	0.2380451681	.
112L1	 80	4	 547.75	449.364	224.682	 715.039	DARK	0.4720259038	.
112L1	 81	4	 527.50	349.753	174.876	 556.535	DARK	0.1098961837	.
112L1	 82	4	 381.25	358.424	179.212	 570.332	DARK	0.4099538297	.
112L1	 83	4	 343.75	459.348	229.674	 730.925	DARK	0.5802182584	.
112L1	 84	4	 859.00	318.139	159.070	 506.231	DARK	0.0004922966	****
112L1	 85	4	 664.25	405.847	202.923	 645.793	DARK	0.2313109234	.
112L1	 86	4	 587.00	231.538	115.769	 368.429	DARK	0.8579454811	.
112L1	 87	4	 425.25	352.528	176.264	 560.951	LIGHT	0.3904361301	.
112L1	 88	4	 465.50	591.715	295.857	 941.550	LIGHT	0.7063454188	.
112L1	 89	4	 264.25	412.243	206.121	 655.971	LIGHT	0.9965169620	.
112L1	 90	4	 145.25	144.585	 72.293	 230.068	LIGHT	0.0040275111	***
112L1	 91	4	 483.00	604.841	302.421	 962.437	LIGHT	0.8775344317	.
112L1	 92	4	 126.75	222.653	111.326	 354.290	LIGHT	0.3476518513	.
112L1	 93	4	  84.50	154.049	 77.024	 245.126	LIGHT	0.6990143739	.
112L1	 94	4	 198.25	239.706	119.853	 381.426	LIGHT	0.2272371658	.
112L1	 95	4	 229.00	324.890	162.445	 516.972	LIGHT	0.3915348088	.
112L1	 96	4	 262.50	334.406	167.203	 532.115	LIGHT	0.3560138088	.
112L1	 97	4	 262.00	408.947	204.474	 650.727	LIGHT	0.2992432661	.
112L1	 98	4	 175.00	281.484	140.742	 447.904	LIGHT	0.3794120762	.
112L1	 99	4	 545.50	824.522	412.261	1311.998	LIGHT	0.3225210145	.
112L1	100	4	 256.00	178.215	 89.108	 283.580	LIGHT	0.0250012152	*
112L1	101	4	 348.75	248.879	124.440	 396.023	LIGHT	0.1308533932	.
112L1	102	4	 529.50	437.405	218.702	 696.009	LIGHT	0.1125153702	.
112L1	103	4	 442.00	323.086	161.543	 514.102	LIGHT	0.2411319943	.
112L1	104	4	 610.75	411.519	205.759	 654.818	LIGHT	0.0356631493	*
112L1	105	4	 469.25	320.780	160.390	 510.432	DARK	0.0301031225	*
112L1	106	4	 877.00	394.627	197.314	 627.940	DARK	0.0265806518	*
112L1	107	4	 550.75	212.525	106.263	 338.175	DARK	0.2262022719	.
112L1	108	4	 655.00	160.221	 80.110	 254.947	DARK	0.0003736391	****
112L1	109	4	 469.75	116.182	 58.091	 184.871	DARK	0.0437614492	*
112L1	110	4	 640.25	173.219	 86.610	 275.631	DARK	0.1539880019	.
112L1	111	4	 617.75	158.538	 79.269	 252.269	DARK	0.8153032783	.
112L2	  1	4	 451.75	611.789	305.894	 973.493	DARK	0.0718221497	.
112L2	  2	4	 548.00	437.427	218.713	 696.043	DARK	0.1886280242	.
112L2	  3	4	 679.75	445.191	222.595	 708.398	DARK	0.8933264327	.
112L2	  4	4	 606.75	247.132	123.566	 393.242	DARK	0.4800254997	.
112L2	  5	4	 761.75	174.477	 87.239	 277.632	DARK	0.0250080774	*
112L2	  6	4	 509.75	508.377	254.188	 808.941	DARK	0.5537761142	.
112L2	  7	4	 354.50	330.035	165.017	 525.159	DARK	0.6235248645	.
112L2	  8	4	 440.00	410.870	205.435	 653.786	DARK	0.5870995864	.
112L2	  9	4	 185.25	300.168	150.084	 477.635	DARK	0.1819472853	.
112L2	 10	4	 280.25	258.256	129.128	 410.943	DARK	0.0322897433	*
112L2	 11	4	 640.25	351.433	175.716	 559.208	DARK	0.1510875968	.
112L2	 12	4	 445.50	337.024	168.512	 536.280	DARK	0.8757419330	.
112L2	 13	4	 459.75	378.170	189.085	 601.754	LIGHT	0.6536914449	.
112L2	 14	4	 604.75	510.516	255.258	 812.344	LIGHT	0.3991205154	.
112L2	 15	4	 283.00	389.682	194.841	 620.071	LIGHT	0.5390968498	.
