Genotype	TimePoint	N	YA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 73	4	1272.00	 820.509	 410.254	 1305.613	DARK	0.1790189088	.
112L1	 74	4	1424.25	1483.476	 741.738	 2360.542	DARK	0.3242619442	.
112L1	 75	4	1969.75	1341.233	 670.616	 2134.201	DARK	0.5669933228	.
112L1	 76	4	1806.25	1692.091	 846.045	 2692.494	DARK	0.1158569430	.
112L1	 77	4	2348.75	1400.389	 700.194	 2228.331	DARK	0.0479267954	*
112L1	 78	4	2139.75	 912.474	 456.237	 1451.950	DARK	0.1584653134	.
112L1	 79	4	2008.75	1918.518	 959.259	 3052.791	DARK	0.5443922170	.
112L1	 80	4	1755.50	1653.667	 826.833	 2631.353	DARK	0.5967566238	.
112L1	 81	4	1993.00	1346.768	 673.384	 2143.008	DARK	0.2023258149	.
112L1	 82	4	1317.25	1342.100	 671.050	 2135.580	DARK	0.0085321874	**
112L1	 83	4	1062.75	 935.708	 467.854	 1488.920	DARK	0.0793564801	.
112L1	 84	4	1686.25	1283.723	 641.861	 2042.689	DARK	0.0113687073	*
112L1	 85	4	1479.00	1465.539	 732.769	 2331.999	DARK	0.0380718004	*
112L1	 86	4	1733.00	1199.730	 599.865	 1909.039	DARK	0.2119776267	.
112L1	 87	4	2704.50	2424.987	1212.493	 3858.695	LIGHT	0.1203447356	.
112L1	 88	4	1265.75	1193.376	 596.688	 1898.927	LIGHT	0.8993054842	.
112L1	 89	4	1121.25	1949.877	 974.938	 3102.689	LIGHT	0.2688222023	.
112L1	 90	4	 598.50	 464.266	 232.133	  738.751	LIGHT	0.0004297725	****
112L1	 91	4	2056.00	2858.319	1429.159	 4548.223	LIGHT	0.6607046267	.
112L1	 92	4	 126.75	 137.430	  68.715	  218.681	LIGHT	0.0023525079	***
112L1	 93	4	  77.75	 107.680	  53.840	  171.342	LIGHT	0.0006527235	****
112L1	 94	4	 518.25	 327.231	 163.616	  520.698	LIGHT	0.0399224102	*
112L1	 95	4	 899.50	 775.432	 387.716	 1233.886	LIGHT	0.0606919175	.
112L1	 96	4	 532.25	 536.836	 268.418	  854.226	LIGHT	0.0389189198	*
112L1	 97	4	 748.75	1385.312	 692.656	 2204.341	LIGHT	0.0860228229	.
112L1	 98	4	 148.75	 147.615	  73.808	  234.889	LIGHT	0.0343860733	*
112L1	 99	4	2124.00	3114.980	1557.490	 4956.628	LIGHT	0.1270619567	.
112L1	100	4	 792.25	 822.224	 411.112	 1308.342	LIGHT	0.0633084882	.
112L1	101	4	 593.75	 701.762	 350.881	 1116.660	LIGHT	0.0729626566	.
112L1	102	4	1245.25	1236.504	 618.252	 1967.553	LIGHT	0.4901536102	.
112L1	103	4	2773.50	2781.789	1390.894	 4426.446	LIGHT	0.8275807540	.
112L1	104	4	1651.25	 865.869	 432.934	 1377.791	LIGHT	0.4331967820	.
112L1	105	4	1804.00	2034.324	1017.162	 3237.063	DARK	0.1467624453	.
112L1	106	4	1947.25	1121.626	 560.813	 1784.757	DARK	0.1941043856	.
112L1	107	4	1021.00	 626.748	 313.374	  997.295	DARK	0.1170647959	.
112L1	108	4	1065.25	 545.235	 272.617	  867.590	DARK	0.0471972226	*
112L1	109	4	 893.00	 841.333	 420.666	 1338.748	DARK	0.0816409526	.
112L1	110	4	1397.25	 820.453	 410.227	 1305.524	DARK	0.4793161903	.
112L1	111	4	 850.25	 691.698	 345.849	 1100.646	DARK	0.0461561558	*
112L2	  1	4	2759.00	1615.694	 807.847	 2570.929	DARK	0.5781775853	.
112L2	  2	4	2274.75	1481.237	 740.619	 2356.979	DARK	0.5283656051	.
112L2	  3	4	3089.25	1475.042	 737.521	 2347.122	DARK	0.6114507270	.
112L2	  4	4	2756.25	 834.272	 417.136	 1327.513	DARK	0.8322872567	.
112L2	  5	4	3842.00	 863.534	 431.767	 1374.076	DARK	0.0967382494	.
112L2	  6	4	4692.50	4595.343	2297.671	 7312.216	DARK	0.2920685035	.
112L2	  7	4	3020.00	1793.287	 896.644	 2853.520	DARK	0.6807982577	.
112L2	  8	4	2508.25	1019.420	 509.710	 1622.125	DARK	0.8613595660	.
112L2	  9	4	2209.00	2423.582	1211.791	 3856.459	DARK	0.6550311677	.
112L2	 10	4	2088.00	1763.616	 881.808	 2806.306	DARK	0.2880271845	.
112L2	 11	4	2686.50	 783.700	 391.850	 1247.042	DARK	0.0769861592	.
112L2	 12	4	3014.50	2045.016	1022.508	 3254.077	DARK	0.1122416890	.
112L2	 13	4	2453.00	1038.909	 519.455	 1653.136	LIGHT	0.3693673665	.
112L2	 14	4	2482.00	2009.468	1004.734	 3197.512	LIGHT	0.5415418163	.
112L2	 15	4	1965.25	1889.084	 944.542	 3005.955	LIGHT	0.9775736842	.
112L2	 16	4	1969.25	2620.937	1310.469	 4170.496	LIGHT	0.5282972475	.
112L2	 17	4	3029.25	1787.639	 893.820	 2844.533	LIGHT	0.2410409331	.
112L2	 18	4	3513.50	4043.811	2021.905	 6434.605	LIGHT	0.4879501275	.
112L2	 19	4	4235.75	3744.459	1872.229	 5958.269	LIGHT	0.2182469371	.
112L2	 20	4	5025.25	3317.370	1658.685	 5278.677	LIGHT	0.0698360742	.
112L2	 21	4	5261.75	2516.735	1258.367	 4004.687	LIGHT	0.0237448108	*
112L2	 22	4	6668.00	5949.371	2974.685	 9466.776	LIGHT	0.0789645825	.
112L2	 23	4	6092.50	5914.455	2957.227	 9411.217	LIGHT	0.2200815806	.
112L2	 24	4	3387.00	2495.890	1247.945	 3971.517	LIGHT	0.3136989332	.
112L2	 25	4	4537.25	4147.789	2073.895	 6600.059	LIGHT	0.1971061469	.
112L2	 26	4	3473.50	2635.928	1317.964	 4194.350	LIGHT	0.2075353952	.
112L2	 27	4	2288.75	2037.610	1018.805	 3242.293	LIGHT	0.2640636660	.
112L2	 28	4	2185.75	1376.777	 688.388	 2190.759	LIGHT	0.6067226885	.
112L2	 29	4	3364.00	2026.957	1013.479	 3225.341	LIGHT	0.1402398404	.
112L2	 30	4	2837.00	1865.840	 932.920	 2968.969	LIGHT	0.3760439027	.
112L2	 31	4	4397.75	3706.682	1853.341	 5898.158	LIGHT	0.2093154601	.
112L2	 32	4	4535.00	3113.071	1556.535	 4953.590	DARK	0.2647592713	.
112L2	 33	4	4466.75	 826.172	 413.086	 1314.624	DARK	0.0308954455	*
112L2	 34	4	4558.75	7219.056	3609.528	11487.129	DARK	0.6581533885	.
112L2	 35	4	1739.25	1398.947	 699.473	 2226.036	DARK	0.6980310926	.
112L2	 36	4	2964.25	1665.807	 832.903	 2650.671	DARK	0.6528685369	.
112L2	 37	4	3538.50	1703.449	 851.725	 2710.568	DARK	0.4258018551	.
112L2	 38	4	2291.75	 477.874	 238.937	  760.404	DARK	0.4279598783	.
112L2	 39	4	3652.00	1771.126	 885.563	 2818.257	DARK	0.2597195333	.
112L2	 40	4	3184.75	1123.198	 561.599	 1787.259	DARK	0.6226275437	.
112L2	 41	4	3407.00	2695.649	1347.824	 4289.379	DARK	0.6412465076	.
112L2	 42	4	4013.00	3141.906	1570.953	 4999.473	DARK	0.1994412810	.
112L2	 43	4	6207.00	3299.847	1649.923	 5250.793	DARK	0.0797693391	.
112L2	 44	4	3764.75	1861.184	 930.592	 2961.559	DARK	0.0870198810	.
