Genotype	TimePoint	N	CumPerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 71	4	 42647.00	11211.206	 5605.603	17839.531	DARK	0.13274021	.
112L1	 72	4	 43309.25	11026.518	 5513.259	17545.650	DARK	0.13864677	.
112L1	 73	4	 43944.50	10953.990	 5476.995	17430.242	DARK	0.13840745	.
112L1	 74	4	 44499.00	10968.729	 5484.365	17453.696	DARK	0.13959428	.
112L1	 75	4	 45316.25	11076.764	 5538.382	17625.603	DARK	0.14906344	.
112L1	 76	4	 45940.25	11200.890	 5600.445	17823.116	DARK	0.14724051	.
112L1	 77	4	 46538.25	11453.687	 5726.843	18225.371	DARK	0.14005528	.
112L1	 78	4	 47409.50	11563.698	 5781.849	18400.424	DARK	0.13958446	.
112L1	 79	4	 48155.50	12120.916	 6060.458	19287.082	DARK	0.13734518	.
112L1	 80	4	 48940.50	12717.693	 6358.847	20236.688	DARK	0.13252036	.
112L1	 81	4	 49769.75	13134.850	 6567.425	20900.477	DARK	0.13273364	.
112L1	 82	4	 50330.75	13284.143	 6642.072	21138.036	DARK	0.12270193	.
112L1	 83	4	 50859.75	13267.244	 6633.622	21111.145	DARK	0.11883952	.
112L1	 84	4	 51516.00	13532.541	 6766.270	21533.292	DARK	0.11248608	.
112L1	 85	4	 52152.25	13547.453	 6773.726	21557.021	DARK	0.10608905	.
112L1	 86	4	 52872.00	13881.691	 6940.846	22088.868	DARK	0.10257986	.
112L1	 87	4	 53606.25	13906.547	 6953.273	22128.419	LIGHT	0.09988954	.
112L1	 88	4	 54161.75	13592.652	 6796.326	21628.943	LIGHT	0.09698007	.
112L1	 89	4	 54689.00	14244.413	 7122.206	22666.040	LIGHT	0.09714038	.
112L1	 90	4	 55117.25	14285.410	 7142.705	22731.275	LIGHT	0.08831958	.
112L1	 91	4	 55833.75	14491.069	 7245.534	23058.524	LIGHT	0.08942527	.
112L1	 92	4	 55996.75	14526.196	 7263.098	23114.419	LIGHT	0.08250156	.
112L1	 93	4	 56174.75	14513.863	 7256.932	23094.795	LIGHT	0.07492181	.
112L1	 94	4	 56568.00	14342.655	 7171.328	22822.365	LIGHT	0.06997013	.
112L1	 95	4	 57105.25	14383.453	 7191.726	22887.283	LIGHT	0.06657451	.
112L1	 96	4	 57494.00	14645.344	 7322.672	23304.011	LIGHT	0.06307839	.
112L1	 97	4	 57981.75	15037.773	 7518.887	23928.453	LIGHT	0.06229533	.
112L1	 98	4	 58313.25	15277.651	 7638.825	24310.152	LIGHT	0.05986332	.
112L1	 99	4	 58947.25	15260.247	 7630.124	24282.459	LIGHT	0.05651891	.
112L1	100	4	 59300.50	15475.107	 7737.553	24624.349	LIGHT	0.05357055	.
112L1	101	4	 59625.75	15611.543	 7805.771	24841.448	LIGHT	0.05157130	.
112L1	102	4	 59954.00	15580.659	 7790.329	24792.305	LIGHT	0.05100063	.
112L1	103	4	 60568.50	15928.025	 7964.012	25345.042	LIGHT	0.05281098	.
112L1	104	4	 61072.25	16061.838	 8030.919	25557.969	LIGHT	0.05320676	.
112L1	105	4	 61553.75	16427.728	 8213.864	26140.181	DARK	0.05306031	.
112L1	106	4	 62526.50	16716.155	 8358.077	26599.132	DARK	0.05393439	.
112L1	107	4	 63099.50	16718.231	 8359.116	26602.437	DARK	0.05128709	.
112L1	108	4	 63597.75	16778.553	 8389.277	26698.422	DARK	0.05051124	.
112L1	109	4	 64205.50	16978.434	 8489.217	27016.477	DARK	0.04893240	*
112L1	110	4	 64883.50	17070.842	 8535.421	27163.520	DARK	0.05011614	.
112L1	111	4	 65262.00	17148.308	 8574.154	27286.785	DARK	0.04791878	*
112L2	  1	4	   855.50	  376.149	  188.075	  598.538	DARK	0.61333723	.
112L2	  2	4	  1753.50	  777.292	  388.646	 1236.845	DARK	0.65447887	.
112L2	  3	4	  2767.25	 1263.263	  631.631	 2010.133	DARK	0.71061422	.
112L2	  4	4	  3679.75	 1320.536	  660.268	 2101.267	DARK	0.60629650	.
112L2	  5	4	  4949.75	 1151.498	  575.749	 1832.290	DARK	0.85428467	.
112L2	  6	4	  6291.00	 1101.754	  550.877	 1753.137	DARK	0.76563268	.
112L2	  7	4	  7427.00	  918.225	  459.112	 1461.100	DARK	0.59424012	.
112L2	  8	4	  8411.75	 1148.334	  574.167	 1827.256	DARK	0.55570228	.
112L2	  9	4	  9084.50	 1425.735	  712.867	 2268.662	DARK	0.48840734	.
112L2	 10	4	  9921.25	 1627.955	  813.978	 2590.440	DARK	0.54336768	.
112L2	 11	4	 10793.00	 1653.844	  826.922	 2631.635	DARK	0.57127924	.
112L2	 12	4	 11661.00	 2053.596	 1026.798	 3267.729	DARK	0.51531674	.
112L2	 13	4	 12570.00	 2110.144	 1055.072	 3357.710	LIGHT	0.45587186	.
112L2	 14	4	 13445.25	 1919.548	  959.774	 3054.429	LIGHT	0.43510112	.
112L2	 15	4	 14334.75	 1552.485	  776.242	 2470.350	LIGHT	0.43976630	.
112L2	 16	4	 14946.75	 1367.775	  683.888	 2176.436	LIGHT	0.40920024	.
112L2	 17	4	 15904.25	 1456.097	  728.048	 2316.975	LIGHT	0.35879060	.
112L2	 18	4	 16793.25	 1829.763	  914.881	 2911.561	LIGHT	0.35952671	.
112L2	 19	4	 17723.25	 2357.554	 1178.777	 3751.395	LIGHT	0.32704452	.
112L2	 20	4	 18541.00	 2217.293	 1108.646	 3528.207	LIGHT	0.29653030	.
112L2	 21	4	 19573.00	 2141.384	 1070.692	 3407.420	LIGHT	0.26728752	.
112L2	 22	4	 20653.00	 2008.557	 1004.279	 3196.063	LIGHT	0.21729203	.
112L2	 23	4	 21537.25	 2024.238	 1012.119	 3221.015	LIGHT	0.24519264	.
112L2	 24	4	 22249.50	 2184.754	 1092.377	 3476.431	LIGHT	0.27514723	.
112L2	 25	4	 23106.50	 2708.176	 1354.088	 4309.312	LIGHT	0.27269854	.
