Genotype	TimePoint	N	PerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 75	4	 817.25	 381.931	190.965	 607.737	DARK	0.6057633093	.
112L1	 76	4	 624.00	 356.646	178.323	 567.504	DARK	0.6784798002	.
112L1	 77	4	 598.00	 265.434	132.717	 422.365	DARK	0.0502345632	.
112L1	 78	4	 871.25	 331.616	165.808	 527.674	DARK	0.6056446360	.
112L1	 79	4	 746.00	 623.271	311.635	 991.763	DARK	0.7457387127	.
112L1	 80	4	 785.00	 649.392	324.696	1033.327	DARK	0.4603174449	.
112L1	 81	4	 829.25	 462.490	231.245	 735.925	DARK	0.1828474798	.
112L1	 82	4	 561.00	 430.360	215.180	 684.799	DARK	0.0297106632	*
112L1	 83	4	 529.00	 444.686	222.343	 707.594	DARK	0.5590433061	.
112L1	 84	4	 656.25	 441.289	220.645	 702.190	DARK	0.0871939189	.
112L1	 85	4	 636.25	 369.785	184.892	 588.410	DARK	0.0478711606	*
112L1	 86	4	 719.75	 422.605	211.302	 672.459	DARK	0.2887394507	.
112L1	 87	4	 734.25	 172.624	 86.312	 274.683	LIGHT	0.1343805504	.
112L1	 88	4	 555.50	 321.231	160.616	 511.151	LIGHT	0.5116681065	.
112L1	 89	4	 527.25	 815.560	407.780	1297.738	LIGHT	0.3960860101	.
112L1	 90	4	 428.25	 109.913	 54.957	 174.896	LIGHT	0.0015571054	***
112L1	 91	4	 716.50	 856.810	428.405	1363.376	LIGHT	0.9459638992	.
112L1	 92	4	 163.00	 157.732	 78.866	 250.987	LIGHT	0.0006548832	****
112L1	 93	4	 178.00	 189.151	 94.575	 300.981	LIGHT	0.0017975967	***
112L1	 94	4	 393.25	 247.396	123.698	 393.663	LIGHT	0.1408533440	.
112L1	 95	4	 537.25	 353.599	176.799	 562.655	LIGHT	0.2081163256	.
112L1	 96	4	 388.75	 267.468	133.734	 425.601	LIGHT	0.0182898986	*
112L1	 97	4	 487.75	 537.549	268.774	 855.360	LIGHT	0.1740370609	.
112L1	 98	4	 331.50	 253.304	126.652	 403.063	LIGHT	0.0368096018	*
112L1	 99	4	 634.00	 545.568	272.784	 868.120	LIGHT	0.1063141063	.
112L1	100	4	 353.25	 220.381	110.190	 350.675	LIGHT	0.0716926392	.
112L1	101	4	 325.25	 148.338	 74.169	 236.039	LIGHT	0.0469348986	*
112L1	102	4	 328.25	 175.912	 87.956	 279.915	LIGHT	0.0959508965	.
112L1	103	4	 614.50	 549.376	274.688	 874.179	LIGHT	0.6799729905	.
112L1	104	4	 503.75	 138.358	 69.179	 220.158	LIGHT	0.6242844355	.
112L1	105	4	 481.50	 524.878	262.439	 835.198	DARK	0.2468138450	.
112L1	106	4	 972.75	 539.782	269.891	 858.914	DARK	0.7477766309	.
112L1	107	4	 573.00	 210.433	105.216	 334.846	DARK	0.1607148175	.
112L1	108	4	 498.25	  71.891	 35.945	 114.394	DARK	0.0492605795	*
112L1	109	4	 607.75	 345.520	172.760	 549.800	DARK	0.3019536411	.
112L1	110	4	 678.00	  97.149	 48.575	 154.586	DARK	0.6132147045	.
112L1	111	4	 378.50	 210.128	105.064	 334.360	DARK	0.1548188737	.
112L2	  1	4	 855.50	 376.149	188.075	 598.538	DARK	0.6133372252	.
112L2	  2	4	 898.00	 408.813	204.406	 650.513	DARK	0.4473671815	.
112L2	  3	4	1013.75	 524.125	262.062	 834.000	DARK	0.2680810609	.
112L2	  4	4	 912.50	 238.180	119.090	 378.997	DARK	0.7367277420	.
112L2	  5	4	1270.00	 390.921	195.461	 622.043	DARK	0.1370239266	.
112L2	  6	4	1341.25	 654.701	327.350	1041.775	DARK	0.1162467239	.
112L2	  7	4	1136.00	 502.563	251.282	 799.691	DARK	0.5074489829	.
112L2	  8	4	 984.75	 290.976	145.488	 463.007	DARK	0.6005753770	.
112L2	  9	4	 672.75	 598.031	299.015	 951.601	DARK	0.8256314598	.
112L2	 10	4	 836.75	 538.823	269.412	 857.388	DARK	0.7700619045	.
112L2	 11	4	 871.75	  33.560	 16.780	  53.401	DARK	0.1972068210	.
112L2	 12	4	 868.00	 418.837	209.419	 666.464	DARK	0.1283890952	.
112L2	 13	4	 909.00	 318.507	159.253	 506.816	LIGHT	0.1696848503	.
112L2	 14	4	 875.25	 466.222	233.111	 741.863	LIGHT	0.6044916424	.
112L2	 15	4	 889.50	 782.134	391.067	1244.550	LIGHT	0.9219232640	.
112L2	 16	4	 612.00	 547.106	273.553	 870.568	LIGHT	0.6795492637	.
