Genotype	TimePoint	N	XT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 70	4	 5894.50	 3337.205	1668.602	 5310.238	DARK	0.0567226387	.
112L1	 71	4	 4783.00	 2481.775	1240.888	 3949.058	DARK	0.5456141909	.
112L1	 72	4	 5880.00	 2279.767	1139.884	 3627.618	DARK	0.1189414928	.
112L1	 73	4	 7001.25	 4779.446	2389.723	 7605.165	DARK	0.7126213854	.
112L1	 74	4	 5528.25	 5637.046	2818.523	 8969.799	DARK	0.4295119142	.
112L1	 75	4	 6966.00	 2486.319	1243.159	 3956.288	DARK	0.4882497198	.
112L1	 76	4	 5489.25	 4738.127	2369.063	 7539.417	DARK	0.6631342028	.
112L1	 77	4	 5086.00	 1178.586	 589.293	 1875.394	DARK	0.1129216251	.
112L1	 78	4	 7013.50	 1314.647	 657.324	 2091.897	DARK	0.1399847702	.
112L1	 79	4	 6210.25	 5001.189	2500.595	 7958.008	DARK	0.8232064948	.
112L1	 80	4	 5295.75	 4907.304	2453.652	 7808.615	DARK	0.8193074455	.
112L1	 81	4	 4977.75	 2482.080	1241.040	 3949.543	DARK	0.0749771274	.
112L1	 82	4	 3970.25	 3152.218	1576.109	 5015.882	DARK	0.0398603008	*
112L1	 83	4	 3402.00	 3168.567	1584.284	 5041.898	DARK	0.4708836095	.
112L1	 84	4	 5668.00	 3527.515	1763.757	 5613.063	DARK	0.0903981888	.
112L1	 85	4	 5518.25	 4526.703	2263.351	 7202.994	DARK	0.0887772359	.
112L1	 86	4	 5732.25	 3146.719	1573.360	 5007.132	DARK	0.6174909217	.
112L1	 87	4	 6218.75	 3390.503	1695.252	 5395.047	LIGHT	0.7855585366	.
112L1	 88	4	 5710.50	 6181.971	3090.985	 9836.895	LIGHT	0.6660897598	.
112L1	 89	4	 3354.50	 6024.429	3012.215	 9586.212	LIGHT	0.7670048630	.
112L1	 90	4	 2378.75	 1339.858	 669.929	 2132.014	LIGHT	0.0006441071	****
112L1	 91	4	 5924.25	 6849.633	3424.816	10899.294	LIGHT	0.8555147304	.
112L1	 92	4	  460.50	  311.676	 155.838	  495.945	LIGHT	0.0021766431	***
112L1	 93	4	  384.25	  259.799	 129.900	  413.398	LIGHT	0.0019469710	***
112L1	 94	4	 1905.00	 1416.954	 708.477	 2254.690	LIGHT	0.1680748459	.
112L1	 95	4	 2634.00	 1618.043	 809.022	 2574.668	LIGHT	0.1709503677	.
112L1	 96	4	 1869.00	 2065.316	1032.658	 3286.379	LIGHT	0.0396400285	*
112L1	 97	4	 2812.75	 4737.777	2368.888	 7538.860	LIGHT	0.2908356785	.
112L1	 98	4	  833.00	  530.956	 265.478	  844.869	LIGHT	0.0366570336	*
112L1	 99	4	 5306.50	 7963.988	3981.994	12672.481	LIGHT	0.3153983739	.
112L1	100	4	 2545.25	 1213.441	 606.720	 1930.855	LIGHT	0.1335802277	.
112L1	101	4	 2657.75	 1649.393	 824.697	 2624.553	LIGHT	0.2980008134	.
112L1	102	4	 3963.25	 3463.098	1731.549	 5510.562	LIGHT	0.8958845804	.
112L1	103	4	 5186.00	 3926.977	1963.489	 6248.697	LIGHT	0.8911187682	.
112L1	104	4	 4497.75	 1694.523	 847.261	 2696.364	LIGHT	0.8384151856	.
112L1	105	4	 4738.75	 3764.303	1882.151	 5989.846	DARK	0.6219266724	.
112L1	106	4	10446.50	 9347.217	4673.608	14873.507	DARK	0.6118767331	.
112L1	107	4	 4267.00	 1877.448	 938.724	 2987.439	DARK	0.2262286749	.
112L1	108	4	 4506.50	  257.512	 128.756	  409.759	DARK	0.0456016596	*
112L1	109	4	 4519.25	 2280.447	1140.223	 3628.699	DARK	0.9261614168	.
112L1	110	4	 5841.75	 2075.277	1037.639	 3302.229	DARK	0.6920037318	.
112L1	111	4	 3889.25	  457.847	 228.923	  728.536	DARK	0.2821761693	.
112L2	  1	4	 5449.50	 2613.807	1306.903	 4159.150	DARK	0.1541140844	.
112L2	  2	4	 5513.00	 3368.975	1684.487	 5360.791	DARK	0.2461450209	.
112L2	  3	4	 7098.50	 4355.412	2177.706	 6930.433	DARK	0.4576621400	.
112L2	  4	4	 6153.50	  864.582	 432.291	 1375.743	DARK	0.6900619095	.
112L2	  5	4	 9310.75	 2258.569	1129.284	 3593.887	DARK	0.0218499574	*
112L2	  6	4	12991.50	10503.877	5251.939	16714.012	DARK	0.1135306797	.
112L2	  7	4	10382.50	10695.355	5347.678	17018.697	DARK	0.5909501385	.
112L2	  8	4	 6066.50	 2466.085	1233.043	 3924.092	DARK	0.8464592374	.
112L2	  9	4	 4056.00	 4791.206	2395.603	 7623.877	DARK	0.5964762116	.
112L2	 10	4	 3977.00	 2655.423	1327.712	 4225.371	DARK	0.0119492304	*
112L2	 11	4	 6563.50	 1278.626	 639.313	 2034.579	DARK	0.1525075751	.
112L2	 12	4	 6641.50	 3107.829	1553.915	 4945.250	DARK	0.5143014778	.
112L2	 13	4	 5521.00	 2538.144	1269.072	 4038.754	LIGHT	0.1421668165	.
112L2	 14	4	 6032.00	 4544.887	2272.443	 7231.929	LIGHT	0.5017367218	.
112L2	 15	4	 5995.25	 6942.037	3471.018	11046.329	LIGHT	0.7223528022	.
112L2	 16	4	 4026.25	 5675.170	2837.585	 9030.463	LIGHT	0.7207461970	.
112L2	 17	4	 5110.00	 2691.117	1345.558	 4282.167	LIGHT	0.3395674988	.
112L2	 18	4	 5484.25	 4517.161	2258.581	 7187.812	LIGHT	0.7331898098	.
112L2	 19	4	 5933.50	 4733.145	2366.573	 7531.490	LIGHT	0.4216640098	.
112L2	 20	4	 6751.25	 4420.528	2210.264	 7034.047	LIGHT	0.1297040809	.
112L2	 21	4	 7639.75	 2374.918	1187.459	 3779.025	LIGHT	0.0539850246	.
112L2	 22	4	 8944.00	 6204.450	3102.225	 9872.664	LIGHT	0.0475328240	*
112L2	 23	4	 7421.25	 5996.441	2998.220	 9541.675	LIGHT	0.3610119230	.
112L2	 24	4	 4617.50	 3349.337	1674.668	 5329.542	LIGHT	0.8937463417	.
112L2	 25	4	 5761.00	 5158.054	2579.027	 8207.615	LIGHT	0.4946879634	.
112L2	 26	4	 4829.75	 3188.004	1594.002	 5072.826	LIGHT	0.3325796394	.
112L2	 27	4	 3129.50	 2163.768	1081.884	 3443.038	LIGHT	0.0645501935	.
112L2	 28	4	 3721.25	 1990.755	 995.377	 3167.735	LIGHT	0.7903951622	.
112L2	 29	4	 5730.75	 4658.191	2329.095	 7412.221	LIGHT	0.2213630757	.
112L2	 30	4	 5163.25	 3749.201	1874.601	 5965.815	LIGHT	0.7402897344	.
112L2	 31	4	 5718.25	 4383.722	2191.861	 6975.481	LIGHT	0.8862079927	.
112L2	 32	4	 6699.00	 5155.904	2577.952	 8204.194	DARK	0.5899410345	.
112L2	 33	4	 8127.75	 1462.644	 731.322	 2327.394	DARK	0.5077252894	.
112L2	 34	4	 6524.75	 9640.316	4820.158	15339.895	DARK	0.8406676963	.
112L2	 35	4	 3013.00	 2285.484	1142.742	 3636.716	DARK	0.1509970522	.
112L2	 36	4	 5888.25	 3639.391	1819.695	 5791.083	DARK	0.7528270870	.
112L2	 37	4	 4818.25	 2660.519	1330.259	 4233.479	DARK	0.6293054118	.
112L2	 38	4	 5552.75	 1987.132	 993.566	 3161.970	DARK	0.2457374116	.
112L2	 39	4	 7153.75	 1738.056	 869.028	 2765.635	DARK	0.8374438162	.
112L2	 40	4	 7652.00	 2253.419	1126.709	 3585.692	DARK	0.3354005187	.
112L2	 41	4	 6308.50	 4096.625	2048.312	 6518.644	DARK	0.9949121997	.
112L2	 42	4	 7162.50	 4841.718	2420.859	 7704.254	DARK	0.3410324477	.
112L2	 43	4	11037.00	 4851.907	2425.954	 7720.467	DARK	0.1220151338	.
112L2	 44	4	 6295.50	 3526.857	1763.429	 5612.017	DARK	0.2696950292	.
112L2	 45	4	 6356.25	 1483.205	 741.602	 2360.110	DARK	0.7909040560	.
