Genotype	TimePoint	N	CumXF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 35	4	14526.75	2686.436	1343.218	 4274.720	DARK	0.14806167	.
112L2	 36	4	15048.75	2651.174	1325.587	 4218.609	DARK	0.13823503	.
112L2	 37	4	15212.00	2882.987	1441.493	 4587.475	DARK	0.11719712	.
112L2	 38	4	15705.75	2985.448	1492.724	 4750.514	DARK	0.07835660	.
112L2	 39	4	16230.75	3057.385	1528.693	 4864.982	DARK	0.08354658	.
112L2	 40	4	16857.50	2934.240	1467.120	 4669.031	DARK	0.05869547	.
112L2	 41	4	17409.00	3142.963	1571.481	 5001.155	DARK	0.05594219	.
112L2	 42	4	18019.75	3543.416	1771.708	 5638.366	DARK	0.05251739	.
112L2	 43	4	18743.50	3824.548	1912.274	 6085.710	DARK	0.05164528	.
112L2	 44	4	19145.00	4112.244	2056.122	 6543.498	DARK	0.05219580	.
112L2	 45	4	19472.25	3999.058	1999.529	 6363.393	DARK	0.04539034	*
112L2	 46	4	19953.00	3983.363	1991.682	 6338.420	DARK	0.05157283	.
112L2	 47	4	20440.50	3917.489	1958.745	 6233.599	DARK	0.05539335	.
112L2	 48	4	21141.50	3889.868	1944.934	 6189.648	DARK	0.05988936	.
112L2	 49	4	22086.75	3842.503	1921.251	 6114.279	DARK	0.08277437	.
112L2	 50	4	22500.25	3593.893	1796.947	 5718.686	LIGHT	0.08234546	.
112L2	 51	4	22878.00	3493.945	1746.973	 5559.647	LIGHT	0.07616958	.
112L2	 52	4	23665.25	4001.631	2000.815	 6367.487	LIGHT	0.09933340	.
112L2	 53	4	24662.75	4687.393	2343.697	 7458.689	LIGHT	0.12181332	.
112L2	 54	4	25272.50	5041.280	2520.640	 8021.802	LIGHT	0.13928185	.
112L2	 55	4	25772.50	5073.740	2536.870	 8073.453	LIGHT	0.13683351	.
112L2	 56	4	26183.50	5020.711	2510.355	 7989.071	LIGHT	0.13642673	.
112L2	 57	4	26628.75	5221.208	2610.604	 8308.107	LIGHT	0.13401234	.
112L2	 58	4	26915.25	5367.336	2683.668	 8540.630	LIGHT	0.13643044	.
112L2	 59	4	27223.50	5502.357	2751.179	 8755.478	LIGHT	0.14185094	.
112L2	 60	4	27540.75	5863.594	2931.797	 9330.286	LIGHT	0.15514263	.
112L2	 61	4	27682.25	5835.123	2917.562	 9284.983	LIGHT	0.15832763	.
112L2	 62	4	27833.00	5791.184	2895.592	 9215.066	LIGHT	0.14543488	.
112L2	 63	4	27989.25	5746.605	2873.302	 9144.131	LIGHT	0.15205014	.
112L2	 64	4	28220.25	5730.034	2865.017	 9117.762	LIGHT	0.15139177	.
112L2	 65	4	28565.50	5690.725	2845.363	 9055.214	LIGHT	0.15203279	.
112L2	 66	4	28646.00	5801.632	2900.816	 9231.691	LIGHT	0.12415199	.
112L2	 67	4	28906.75	5668.708	2834.354	 9020.180	LIGHT	0.13461340	.
112L2	 68	4	29115.50	5675.124	2837.562	 9030.389	LIGHT	0.13434519	.
112L2	 69	4	29382.25	5771.139	2885.569	 9183.170	DARK	0.14140406	.
112L2	 70	4	29773.50	5847.544	2923.772	 9304.747	DARK	0.13661254	.
112L2	 71	4	30369.00	5979.560	2989.780	 9514.815	DARK	0.14995259	.
112L2	 72	4	30613.75	6101.227	3050.613	 9708.413	DARK	0.13093862	.
112L2	 73	4	30920.00	6067.768	3033.884	 9655.173	DARK	0.09819602	.
112L2	 74	4	31207.50	6065.162	3032.581	 9651.026	DARK	0.08003359	.
112L2	 75	4	31418.50	6222.629	3111.314	 9901.591	DARK	0.06823746	.
112L2	 76	4	31759.75	6305.263	3152.631	10033.080	DARK	0.05860391	.
112L2	 77	4	32531.25	6583.115	3291.558	10475.205	DARK	0.06810268	.
112L2	 78	4	33210.00	6594.140	3297.070	10492.748	DARK	0.05763609	.
112L2	 79	4	33764.50	6652.917	3326.458	10586.275	DARK	0.05554467	.
112L2	 80	4	34339.75	6811.038	3405.519	10837.881	DARK	0.06105768	.
112L2	 81	4	35015.00	7077.036	3538.518	11261.144	DARK	0.05753584	.
112L2	 82	4	35671.75	6863.396	3431.698	10921.194	DARK	0.06075238	.
112L2	 83	4	36094.25	6467.453	3233.726	10291.161	DARK	0.05504801	.
112L2	 84	4	36391.25	6403.066	3201.533	10188.707	DARK	0.04866657	*
112L2	 85	4	36926.00	6483.704	3241.852	10317.019	DARK	0.04808166	*
112L2	 86	4	37557.75	6210.693	3105.347	 9882.599	DARK	0.04759603	*
112L2	 87	4	37853.00	6237.972	3118.986	 9926.005	LIGHT	0.04537834	*
112L2	 88	4	38200.25	6438.351	3219.176	10244.853	LIGHT	0.04241057	*
112L2	 89	4	38684.25	6633.489	3316.745	10555.361	LIGHT	0.04879899	*
112L2	 90	4	39587.25	6719.795	3359.897	10692.693	LIGHT	0.05297917	.
112L2	 91	4	40027.50	6807.431	3403.716	10832.142	LIGHT	0.05871815	.
112L2	 92	4	40613.00	6857.757	3428.879	10912.222	LIGHT	0.06600292	.
112L2	 93	4	40979.00	6628.390	3314.195	10547.248	LIGHT	0.06924014	.
112L2	 94	4	41213.75	6581.073	3290.536	10471.955	LIGHT	0.06833454	.
112L2	 95	4	41397.75	6534.280	3267.140	10397.498	LIGHT	0.06899413	.
112L2	 96	4	41696.50	6571.127	3285.563	10456.129	LIGHT	0.06712649	.
112L2	 97	4	41901.25	6606.530	3303.265	10512.464	LIGHT	0.06379241	.
112L2	 98	4	42090.25	6560.500	3280.250	10439.220	LIGHT	0.06468284	.
112L2	 99	4	42266.00	6658.515	3329.257	10595.183	LIGHT	0.05423270	.
112L2	100	4	42450.00	6701.741	3350.871	10663.966	LIGHT	0.05211942	.
112L2	101	4	42805.75	6767.904	3383.952	10769.245	LIGHT	0.05241750	.
112L2	102	4	43096.75	6736.406	3368.203	10719.125	LIGHT	0.04831656	*
112L2	103	4	43511.50	6388.586	3194.293	10165.666	LIGHT	0.04319414	*
112L2	104	4	43630.00	6440.833	3220.417	10248.803	LIGHT	0.04333751	*
112L2	105	4	43806.00	6465.564	3232.782	10288.155	DARK	0.04247437	*
112L2	106	4	44136.75	6649.013	3324.507	10580.064	DARK	0.03605563	*
112L2	107	4	44583.00	6731.714	3365.857	10711.659	DARK	0.03726598	*
112L2	108	4	44871.75	6859.341	3429.671	10914.743	DARK	0.03579796	*
112L2	109	4	45043.50	6897.873	3448.936	10976.055	DARK	0.03258336	*
112L2	110	4	45443.00	6818.213	3409.107	10849.299	DARK	0.02738272	*
112L2	111	4	45838.50	6727.282	3363.641	10704.607	DARK	0.02795061	*
WT	  1	4	  279.00	 291.512	 145.756	  463.861	DARK	0.01764708	*
WT	  2	4	 1122.75	 295.580	 147.790	  470.334	DARK	0.02126626	*
WT	  3	4	 2040.50	 348.203	 174.102	  554.069	DARK	0.34153025	.
WT	  4	4	 2807.50	 718.157	 359.079	 1142.748	DARK	0.48617885	.
WT	  5	4	 3179.25	 764.954	 382.477	 1217.213	DARK	0.26185723	.
WT	  6	4	 3515.75	 769.190	 384.595	 1223.953	DARK	0.22698915	.
WT	  7	4	 3869.00	 716.341	 358.171	 1139.859	DARK	0.16411229	.
WT	  8	4	 4270.75	 825.264	 412.632	 1313.179	DARK	0.16174364	.
WT	  9	4	 4557.50	 999.333	 499.666	 1590.161	DARK	0.09911906	.
WT	 10	4	 4923.50	1200.083	 600.041	 1909.599	DARK	0.04568029	*
WT	 11	4	 5158.00	1245.862	 622.931	 1982.445	DARK	0.03748746	*
WT	 12	4	 5594.50	1075.287	 537.644	 1711.022	DARK	0.05297345	.
WT	 13	4	 6562.00	 889.644	 444.822	 1415.622	LIGHT	0.12899950	.
WT	 14	4	 7173.00	 539.393	 269.696	  858.294	LIGHT	0.18469705	.
WT	 15	4	 7432.00	 563.440	 281.720	  896.559	LIGHT	0.14287284	.
WT	 16	4	 7519.00	 606.743	 303.371	  965.463	LIGHT	0.15919121	.
WT	 17	4	 7893.50	 313.552	 156.776	  498.932	LIGHT	0.18416066	.
