Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 72	4	327807.25	 79730.356	39865.178	126868.788	DARK	0.30546906	.
112L1	 73	4	334808.50	 77244.675	38622.337	122913.515	DARK	0.31370818	.
112L1	 74	4	340336.75	 72397.302	36198.651	115200.263	DARK	0.32865943	.
112L1	 75	4	347302.75	 73512.281	36756.141	116974.444	DARK	0.35443967	.
112L1	 76	4	352792.00	 75577.916	37788.958	120261.329	DARK	0.34557484	.
112L1	 77	4	357878.00	 75761.693	37880.846	120553.760	DARK	0.32207698	.
112L1	 78	4	364891.50	 75897.308	37948.654	120769.553	DARK	0.30448444	.
112L1	 79	4	371101.75	 80617.108	40308.554	128279.808	DARK	0.29796238	.
112L1	 80	4	376397.50	 85086.928	42543.464	135392.290	DARK	0.29997396	.
112L1	 81	4	381375.25	 85699.074	42849.537	136366.351	DARK	0.28882723	.
112L1	 82	4	385345.50	 85441.944	42720.972	135957.199	DARK	0.25507907	.
112L1	 83	4	388747.50	 85814.401	42907.200	136549.862	DARK	0.23278409	.
112L1	 84	4	394415.50	 88812.785	44406.393	141320.960	DARK	0.21991062	.
112L1	 85	4	399933.75	 89162.758	44581.379	141877.845	DARK	0.19656125	.
112L1	 86	4	405666.00	 92027.913	46013.956	146436.946	DARK	0.18518585	.
112L1	 87	4	411884.75	 88883.679	44441.839	141433.767	LIGHT	0.17766848	.
112L1	 88	4	417595.25	 84633.823	42316.911	134671.298	LIGHT	0.18435208	.
112L1	 89	4	420949.75	 86754.267	43377.133	138045.398	LIGHT	0.18350021	.
112L1	 90	4	423328.50	 86518.607	43259.304	137670.411	LIGHT	0.15251678	.
112L1	 91	4	429252.75	 90510.153	45255.077	144021.851	LIGHT	0.15515109	.
112L1	 92	4	429713.25	 90661.183	45330.591	144262.173	LIGHT	0.13620225	.
112L1	 93	4	430097.50	 90681.849	45340.925	144295.058	LIGHT	0.11846215	.
112L1	 94	4	432002.50	 89593.500	44796.750	142563.251	LIGHT	0.10778130	.
112L1	 95	4	434636.50	 88586.740	44293.370	140961.271	LIGHT	0.09795831	.
112L1	 96	4	436505.50	 89670.185	44835.092	142685.274	LIGHT	0.08552852	.
112L1	 97	4	439318.25	 91186.825	45593.412	145098.587	LIGHT	0.07754867	.
112L1	 98	4	440151.25	 91459.728	45729.864	145532.837	LIGHT	0.07158539	.
112L1	 99	4	445457.75	 84751.234	42375.617	134858.125	LIGHT	0.05628354	.
112L1	100	4	448003.00	 84219.101	42109.551	134011.384	LIGHT	0.04805901	*
112L1	101	4	450660.75	 83218.144	41609.072	132418.638	LIGHT	0.04584719	*
112L1	102	4	454624.00	 80316.210	40158.105	127801.012	LIGHT	0.04501398	*
112L1	103	4	459810.00	 79277.054	39638.527	126147.483	LIGHT	0.04639046	*
112L1	104	4	464307.75	 78383.312	39191.656	124725.340	LIGHT	0.04797496	*
112L1	105	4	469046.50	 81911.740	40955.870	130339.857	DARK	0.04992876	*
112L1	106	4	479493.00	 87848.809	43924.404	139787.059	DARK	0.05824032	.
112L1	107	4	483760.00	 88108.078	44054.039	140199.614	DARK	0.05808145	.
112L1	108	4	488266.50	 88060.156	44030.078	140123.358	DARK	0.05910441	.
112L1	109	4	492785.75	 87583.234	43791.617	139364.470	DARK	0.05625491	.
112L1	110	4	498627.50	 87862.814	43931.407	139809.344	DARK	0.05642210	.
112L1	111	4	502516.75	 88298.036	44149.018	140501.880	DARK	0.05387700	.
112L2	  1	4	  5449.50	  2613.807	 1306.903	  4159.150	DARK	0.15411408	.
112L2	  2	4	 10962.50	  5916.387	 2958.193	  9414.292	DARK	0.14267795	.
112L2	  3	4	 18061.00	 10070.033	 5035.016	 16023.669	DARK	0.57440658	.
112L2	  4	4	 24214.50	 10708.650	 5354.325	 17039.852	DARK	0.63455626	.
112L2	  5	4	 33525.25	  8539.786	 4269.893	 13588.705	DARK	0.76000643	.
112L2	  6	4	 46516.75	  8024.034	 4012.017	 12768.029	DARK	0.51013258	.
112L2	  7	4	 56899.25	 16618.984	 8309.492	 26444.512	DARK	0.43204322	.
112L2	  8	4	 62965.75	 15973.282	 7986.641	 25417.056	DARK	0.40577690	.
112L2	  9	4	 67021.75	 14381.146	 7190.573	 22883.613	DARK	0.41011804	.
112L2	 10	4	 70998.75	 14360.312	 7180.156	 22850.461	DARK	0.32839849	.
112L2	 11	4	 77562.25	 14935.029	 7467.514	 23764.963	DARK	0.17910211	.
112L2	 12	4	 84203.75	 13772.212	 6886.106	 21914.663	DARK	0.20658566	.
112L2	 13	4	 89724.75	 12990.350	 6495.175	 20670.546	LIGHT	0.47671867	.
112L2	 14	4	 95756.75	 13473.160	 6736.580	 21438.804	LIGHT	0.52234001	.
112L2	 15	4	101752.00	 20318.423	10159.211	 32331.145	LIGHT	0.47085906	.
