Genotype	TimePoint	N	PerA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 72	4	2208.75	1133.921	 566.961	 1804.321	DARK	0.0769079557	.
112L1	 73	4	1992.75	1236.271	 618.136	 1967.183	DARK	0.2618616740	.
112L1	 74	4	1953.75	2069.962	1034.981	 3293.771	DARK	0.2134980755	.
112L1	 75	4	3054.50	1316.193	 658.096	 2094.356	DARK	0.5575860134	.
112L1	 76	4	2049.50	1635.505	 817.752	 2602.453	DARK	0.6456411558	.
112L1	 77	4	2239.00	 924.980	 462.490	 1471.850	DARK	0.2794446620	.
112L1	 78	4	3050.75	 669.204	 334.602	 1064.852	DARK	0.4610455013	.
112L1	 79	4	2482.00	1932.189	 966.095	 3074.544	DARK	0.6739210667	.
112L1	 80	4	2263.00	2183.192	1091.596	 3473.946	DARK	0.5041088712	.
112L1	 81	4	2223.25	1197.329	 598.664	 1905.217	DARK	0.1130249030	.
112L1	 82	4	1734.25	1388.709	 694.355	 2209.746	DARK	0.0268576859	*
112L1	 83	4	1541.50	1240.347	 620.174	 1973.669	DARK	0.4233721881	.
112L1	 84	4	2026.75	1328.011	 664.006	 2113.162	DARK	0.0199162160	*
112L1	 85	4	2102.50	1558.709	 779.355	 2480.254	DARK	0.0250086116	*
112L1	 86	4	2500.50	1647.009	 823.504	 2620.758	DARK	0.4129298521	.
112L1	 87	4	2893.50	1422.272	 711.136	 2263.152	LIGHT	0.1017425115	.
112L1	 88	4	2415.25	2441.514	1220.757	 3884.993	LIGHT	0.8248478644	.
112L1	 89	4	1583.25	2869.204	1434.602	 4565.544	LIGHT	0.5182742356	.
112L1	 90	4	1061.50	 544.785	 272.393	  866.875	LIGHT	0.0048599566	***
112L1	 91	4	2846.75	3722.538	1861.269	 5923.388	LIGHT	0.8332806962	.
112L1	 92	4	 123.25	 161.498	  80.749	  256.979	LIGHT	0.0006134508	****
112L1	 93	4	  85.25	 116.769	  58.384	  185.805	LIGHT	0.0003661069	****
112L1	 94	4	 758.25	 685.924	 342.962	 1091.459	LIGHT	0.0763638368	.
112L1	 95	4	1220.75	 948.377	 474.188	 1509.079	LIGHT	0.0751393269	.
112L1	 96	4	 762.50	 809.354	 404.677	 1287.863	LIGHT	0.0391401895	*
112L1	 97	4	1006.75	1796.896	 898.448	 2859.262	LIGHT	0.0928134173	.
112L1	 98	4	 222.25	 136.785	  68.393	  217.656	LIGHT	0.0328055816	*
112L1	 99	4	1842.00	2451.291	1225.646	 3900.551	LIGHT	0.0979021798	.
112L1	100	4	 871.25	 720.166	 360.083	 1145.945	LIGHT	0.0701453766	.
112L1	101	4	 777.00	 410.717	 205.359	  653.543	LIGHT	0.0734492185	.
112L1	102	4	1100.75	 921.394	 460.697	 1466.143	LIGHT	0.3037197446	.
112L1	103	4	3058.00	3009.691	1504.846	 4789.090	LIGHT	0.8518311848	.
112L1	104	4	1622.25	 650.394	 325.197	 1034.922	LIGHT	0.5274982479	.
112L1	105	4	2488.00	3275.873	1637.937	 5212.646	DARK	0.3540188150	.
112L1	106	4	5072.00	5739.504	2869.752	 9132.832	DARK	0.7761797971	.
112L1	107	4	1603.75	 781.401	 390.701	 1243.383	DARK	0.1605732554	.
112L1	108	4	1440.50	 115.593	  57.796	  183.934	DARK	0.0268429115	*
112L1	109	4	1896.50	1385.197	 692.599	 2204.158	DARK	0.4438441029	.
112L1	110	4	2295.25	1261.404	 630.702	 2007.176	DARK	0.7087569745	.
112L1	111	4	1086.25	 343.128	 171.564	  545.993	DARK	0.2125372113	.
112L2	  1	4	2694.75	1786.621	 893.311	 2842.913	DARK	0.5718848645	.
112L2	  2	4	2407.75	1408.265	 704.132	 2240.863	DARK	0.1412943107	.
112L2	  3	4	3102.25	1891.365	 945.683	 3009.584	DARK	0.1756129449	.
112L2	  4	4	2696.75	 689.958	 344.979	 1097.877	DARK	0.6464045529	.
112L2	  5	4	4728.25	1942.273	 971.137	 3090.590	DARK	0.1942557379	.
112L2	  6	4	9395.25	8981.439	4490.720	14291.474	DARK	0.1292441617	.
112L2	  7	4	7532.50	8765.288	4382.644	13947.529	DARK	0.4153480754	.
112L2	  8	4	3098.25	 718.291	 359.145	 1142.961	DARK	0.8933541842	.
112L2	  9	4	2397.00	2621.668	1310.834	 4171.658	DARK	0.7884159089	.
112L2	 10	4	2221.75	1670.891	 835.445	 2658.760	DARK	0.0396863097	*
112L2	 11	4	2990.00	 553.709	 276.855	  881.075	DARK	0.1291195644	.
112L2	 12	4	3612.00	2060.657	1030.329	 3278.966	DARK	0.1927252284	.
112L2	 13	4	2772.75	1383.674	 691.837	 2201.735	LIGHT	0.1555356352	.
112L2	 14	4	2865.25	2080.615	1040.308	 3310.723	LIGHT	0.5447448056	.
