Genotype	TimePoint	N	CumYA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 70	4	 99505.25	 36408.665	18204.332	 57934.310	DARK	0.040316766	*
112L1	 71	4	101285.75	 36005.828	18002.914	 57293.308	DARK	0.038467986	*
112L1	 72	4	102721.25	 35270.011	17635.006	 56122.458	DARK	0.041183500	*
112L1	 73	4	103993.25	 35148.232	17574.116	 55928.680	DARK	0.039490080	*
112L1	 74	4	105417.50	 34693.306	17346.653	 55204.791	DARK	0.040256461	*
112L1	 75	4	107387.25	 33974.134	16987.067	 54060.429	DARK	0.040522507	*
112L1	 76	4	109193.50	 34430.205	17215.102	 54786.139	DARK	0.037166217	*
112L1	 77	4	111542.25	 34293.915	17146.958	 54569.272	DARK	0.034005279	*
112L1	 78	4	113682.00	 34604.680	17302.340	 55063.769	DARK	0.031142968	*
112L1	 79	4	115690.75	 36255.872	18127.936	 57691.182	DARK	0.028515735	*
112L1	 80	4	117446.25	 37747.941	18873.970	 60065.398	DARK	0.027352882	*
112L1	 81	4	119439.25	 39082.166	19541.083	 62188.447	DARK	0.027026775	*
112L1	 82	4	120756.50	 38933.980	19466.990	 61952.650	DARK	0.024286329	*
112L1	 83	4	121819.25	 38812.452	19406.226	 61759.272	DARK	0.022905835	*
112L1	 84	4	123505.50	 39561.548	19780.774	 62951.250	DARK	0.020483830	*
112L1	 85	4	124984.50	 38795.963	19397.982	 61733.035	DARK	0.017835933	*
112L1	 86	4	126717.50	 39760.076	19880.038	 63267.154	DARK	0.016755840	*
112L1	 87	4	129422.00	 38918.821	19459.410	 61928.528	LIGHT	0.015580372	*
112L1	 88	4	130687.75	 37865.372	18932.686	 60252.257	LIGHT	0.015620868	*
112L1	 89	4	131809.00	 39185.961	19592.980	 62353.608	LIGHT	0.015586910	*
112L1	 90	4	132407.50	 39299.290	19649.645	 62533.940	LIGHT	0.013925785	*
112L1	 91	4	134463.50	 40174.538	20087.269	 63926.655	LIGHT	0.013820027	*
112L1	 92	4	134590.25	 40263.850	20131.925	 64068.770	LIGHT	0.012301264	*
112L1	 93	4	134668.00	 40306.893	20153.446	 64137.261	LIGHT	0.010945233	*
112L1	 94	4	135186.25	 40214.050	20107.025	 63989.527	LIGHT	0.009935444	**
112L1	 95	4	136085.75	 40280.824	20140.412	 64095.779	LIGHT	0.009360247	**
112L1	 96	4	136618.00	 40798.628	20399.314	 64919.722	LIGHT	0.008343890	**
112L1	 97	4	137366.75	 41600.310	20800.155	 66195.376	LIGHT	0.007617364	**
112L1	 98	4	137515.50	 41728.965	20864.483	 66400.095	LIGHT	0.007309418	**
112L1	 99	4	139639.50	 41071.063	20535.532	 65353.226	LIGHT	0.006234602	**
112L1	100	4	140431.75	 41799.890	20899.945	 66512.952	LIGHT	0.005579785	**
112L1	101	4	141025.50	 42334.723	21167.361	 67363.991	LIGHT	0.005499723	**
112L1	102	4	142270.75	 42455.456	21227.728	 67556.105	LIGHT	0.005911642	**
112L1	103	4	145044.25	 43487.180	21743.590	 69197.807	LIGHT	0.006571500	**
112L1	104	4	146695.50	 44216.347	22108.174	 70358.075	LIGHT	0.006654897	**
112L1	105	4	148499.50	 45748.190	22874.095	 72795.580	DARK	0.006834033	**
112L1	106	4	150446.75	 46248.425	23124.213	 73591.565	DARK	0.006848837	**
112L1	107	4	151467.75	 45937.543	22968.771	 73096.882	DARK	0.006596117	**
112L1	108	4	152533.00	 45835.654	22917.827	 72934.754	DARK	0.006374089	**
112L1	109	4	153426.00	 46047.891	23023.945	 73272.470	DARK	0.005798226	**
112L1	110	4	154823.25	 45757.385	22878.692	 72810.210	DARK	0.005982877	**
112L1	111	4	155673.50	 45716.054	22858.027	 72744.444	DARK	0.005379775	**
112L2	  1	4	  2759.00	  1615.694	  807.847	  2570.929	DARK	0.578177585	.
112L2	  2	4	  5033.75	  3082.271	 1541.136	  4904.582	DARK	0.717503296	.
112L2	  3	4	  8123.00	  4556.055	 2278.027	  7249.700	DARK	0.931095883	.
112L2	  4	4	 10879.25	  4725.185	 2362.592	  7518.823	DARK	0.935142914	.
112L2	  5	4	 14721.25	  4776.640	 2388.320	  7600.700	DARK	0.995605474	.
112L2	  6	4	 19413.75	  5155.486	 2577.743	  8203.529	DARK	0.728782016	.
112L2	  7	4	 22433.75	  5490.442	 2745.221	  8736.519	DARK	0.706812321	.
112L2	  8	4	 24942.00	  6497.290	 3248.645	 10338.639	DARK	0.697818948	.
112L2	  9	4	 27151.00	  8380.117	 4190.059	 13334.636	DARK	0.628283986	.
112L2	 10	4	 29239.00	  9417.110	 4708.555	 14984.723	DARK	0.734893434	.
112L2	 11	4	 31925.50	  9885.043	 4942.522	 15729.310	DARK	0.629950207	.
112L2	 12	4	 34940.00	 11713.512	 5856.756	 18638.812	DARK	0.615709304	.
112L2	 13	4	 37393.00	 11588.748	 5794.374	 18440.284	LIGHT	0.614259201	.
112L2	 14	4	 39875.00	 10872.524	 5436.262	 17300.612	LIGHT	0.556722359	.
112L2	 15	4	 41840.25	 10093.464	 5046.732	 16060.954	LIGHT	0.563843475	.
112L2	 16	4	 43809.50	  8483.161	 4241.580	 13498.602	LIGHT	0.470550489	.
112L2	 17	4	 46838.75	  8959.527	 4479.763	 14256.607	LIGHT	0.407840858	.
112L2	 18	4	 50352.25	  8476.143	 4238.071	 13487.434	LIGHT	0.333684799	.
112L2	 19	4	 54588.00	  9541.295	 4770.647	 15182.329	LIGHT	0.238335579	.
112L2	 20	4	 59613.25	  7705.456	 3852.728	 12261.100	LIGHT	0.151488647	.
112L2	 21	4	 64875.00	  8230.643	 4115.322	 13096.790	LIGHT	0.100553027	.
112L2	 22	4	 71543.00	  6173.985	 3086.992	  9824.188	LIGHT	0.047258609	*
112L2	 23	4	 77635.50	  6818.583	 3409.291	 10849.887	LIGHT	0.037090259	*
112L2	 24	4	 81022.50	  7112.826	 3556.413	 11318.093	LIGHT	0.035037051	*
112L2	 25	4	 85559.75	  9144.034	 4572.017	 14550.199	LIGHT	0.033663376	*
112L2	 26	4	 89033.25	 11623.815	 5811.907	 18496.083	LIGHT	0.037338326	*
112L2	 27	4	 91322.00	 11626.572	 5813.286	 18500.471	LIGHT	0.036579039	*
112L2	 28	4	 93507.75	 11549.840	 5774.920	 18378.374	LIGHT	0.037368928	*
112L2	 29	4	 96871.75	 12603.749	 6301.875	 20055.378	LIGHT	0.047556636	*
112L2	 30	4	 99708.75	 11536.682	 5768.341	 18357.435	LIGHT	0.050620270	.
112L2	 31	4	104106.50	 12866.024	 6433.012	 20472.716	LIGHT	0.043341550	*
112L2	 32	4	108641.50	 13465.070	 6732.535	 21425.931	DARK	0.046126623	*
112L2	 33	4	113108.25	 14153.002	 7076.501	 22520.584	DARK	0.042054318	*
112L2	 34	4	117667.00	 19355.490	 9677.745	 30798.904	DARK	0.047224705	*
112L2	 35	4	119406.25	 19185.839	 9592.920	 30528.952	DARK	0.052995530	.
112L2	 36	4	122370.50	 19599.835	 9799.918	 31187.712	DARK	0.059843432	.
112L2	 37	4	125909.00	 20492.405	10246.202	 32607.989	DARK	0.066867619	.
112L2	 38	4	128200.75	 20322.767	10161.383	 32338.057	DARK	0.076790334	.
112L2	 39	4	131852.75	 19615.136	 9807.568	 31212.059	DARK	0.070231018	.
112L2	 40	4	135037.50	 18941.995	 9470.998	 30140.941	DARK	0.073799742	.
112L2	 41	4	138444.50	 21343.609	10671.804	 33962.445	DARK	0.078062964	.
112L2	 42	4	142457.50	 24264.122	12132.061	 38609.633	DARK	0.075719896	.
112L2	 43	4	148664.50	 24823.392	12411.696	 39499.556	DARK	0.075496060	.
112L2	 44	4	152429.25	 26606.789	13303.395	 42337.339	DARK	0.073734606	.
112L2	 45	4	156256.25	 26386.473	13193.236	 41986.766	DARK	0.074829163	.
112L2	 46	4	160037.25	 25843.834	12921.917	 41123.307	DARK	0.070481290	.
112L2	 47	4	163718.50	 27195.281	13597.641	 43273.761	DARK	0.065180005	.
112L2	 48	4	166506.25	 28129.051	14064.526	 44759.598	DARK	0.068181549	.
112L2	 49	4	170459.00	 28577.994	14288.997	 45473.966	DARK	0.065957398	.
112L2	 50	4	174067.75	 29619.933	14809.966	 47131.923	LIGHT	0.066863613	.
112L2	 51	4	176357.50	 30329.918	15164.959	 48261.668	LIGHT	0.068646128	.
112L2	 52	4	178300.75	 31354.622	15677.311	 49892.200	LIGHT	0.068736350	.
112L2	 53	4	181214.25	 32035.573	16017.786	 50975.745	LIGHT	0.064844382	.
112L2	 54	4	183165.75	 32228.726	16114.363	 51283.095	LIGHT	0.065283293	.
112L2	 55	4	188394.25	 31744.275	15872.138	 50512.226	LIGHT	0.056618331	.
112L2	 56	4	190952.50	 31346.836	15673.418	 49879.812	LIGHT	0.051989256	.
112L2	 57	4	194683.25	 33890.701	16945.351	 53927.668	LIGHT	0.049171738	*
112L2	 58	4	197481.25	 35999.823	17999.912	 57283.752	LIGHT	0.047509917	*
112L2	 59	4	200817.25	 37011.365	18505.682	 58893.341	LIGHT	0.042545971	*
112L2	 60	4	203192.25	 37382.468	18691.234	 59483.849	LIGHT	0.039744418	*
112L2	 61	4	205569.00	 39311.717	19655.858	 62553.714	LIGHT	0.038217198	*
112L2	 62	4	208937.00	 41893.211	20946.606	 66661.448	LIGHT	0.038435804	*
112L2	 63	4	211403.25	 44548.375	22274.187	 70886.405	LIGHT	0.041789730	*
112L2	 64	4	215875.50	 45746.439	22873.219	 72792.793	LIGHT	0.038808942	*
112L2	 65	4	220008.25	 45920.311	22960.155	 73069.462	LIGHT	0.035097209	*
112L2	 66	4	223369.25	 50348.531	25174.266	 80115.748	LIGHT	0.037036834	*
112L2	 67	4	226934.00	 52964.117	26482.058	 84277.729	LIGHT	0.036720701	*
112L2	 68	4	229137.00	 54028.338	27014.169	 85971.143	LIGHT	0.038464162	*
112L2	 69	4	231749.25	 54389.672	27194.836	 86546.105	DARK	0.039969466	*
112L2	 70	4	233671.75	 54359.619	27179.810	 86498.284	DARK	0.040316766	*
112L2	 71	4	236862.00	 54386.548	27193.274	 86541.135	DARK	0.038467986	*
112L2	 72	4	238373.00	 55084.420	27542.210	 87651.605	DARK	0.041183500	*
112L2	 73	4	241734.25	 54351.871	27175.935	 86485.955	DARK	0.039490080	*
112L2	 74	4	244825.00	 55557.549	27778.775	 88404.458	DARK	0.040256461	*
112L2	 75	4	247845.00	 56031.255	28015.628	 89158.230	DARK	0.040522507	*
112L2	 76	4	252430.25	 55908.927	27954.463	 88963.578	DARK	0.037166217	*
112L2	 77	4	256145.00	 55134.491	27567.246	 87731.279	DARK	0.034005279	*
112L2	 78	4	260860.50	 53763.340	26881.670	 85549.471	DARK	0.031142968	*
112L2	 79	4	264718.50	 52229.908	26114.954	 83109.439	DARK	0.028515735	*
112L2	 80	4	267619.75	 51583.973	25791.986	 82081.611	DARK	0.027352882	*
112L2	 81	4	270544.00	 51596.624	25798.312	 82101.742	DARK	0.027026775	*
112L2	 82	4	274831.00	 52769.387	26384.694	 83967.871	DARK	0.024286329	*
112L2	 83	4	277709.00	 52293.932	26146.966	 83211.316	DARK	0.022905835	*
112L2	 84	4	282288.75	 51179.767	25589.884	 81438.430	DARK	0.020483830	*
112L2	 85	4	287695.00	 51575.429	25787.714	 82068.016	DARK	0.017835933	*
112L2	 86	4	291130.75	 50168.744	25084.372	 79829.667	DARK	0.016755840	*
112L2	 87	4	296058.75	 49394.528	24697.264	 78597.716	LIGHT	0.015580372	*
112L2	 88	4	297564.50	 49291.704	24645.852	 78434.101	LIGHT	0.015620868	*
112L2	 89	4	300303.50	 49402.414	24701.207	 78610.266	LIGHT	0.015586910	*
112L2	 90	4	305726.00	 50724.818	25362.409	 80714.505	LIGHT	0.013925785	*
112L2	 91	4	308874.50	 50559.022	25279.511	 80450.687	LIGHT	0.013820027	*
112L2	 92	4	312321.25	 49784.756	24892.378	 79218.657	LIGHT	0.012301264	*
112L2	 93	4	315354.50	 48659.330	24329.665	 77427.852	LIGHT	0.010945233	*
112L2	 94	4	320321.50	 46023.130	23011.565	 73233.069	LIGHT	0.009935444	**
112L2	 95	4	325463.75	 46197.923	23098.962	 73511.205	LIGHT	0.009360247	**
112L2	 96	4	331452.50	 43856.737	21928.369	 69785.856	LIGHT	0.008343890	**
112L2	 97	4	337750.25	 42759.156	21379.578	 68039.360	LIGHT	0.007617364	**
112L2	 98	4	343203.25	 44528.883	22264.441	 70855.390	LIGHT	0.007309418	**
112L2	 99	4	349760.25	 43980.669	21990.334	 69983.058	LIGHT	0.006234602	**
112L2	100	4	356218.50	 41277.120	20638.560	 65681.109	LIGHT	0.005579785	**
112L2	101	4	359483.50	 41252.530	20626.265	 65641.982	LIGHT	0.005499723	**
112L2	102	4	362250.25	 42116.655	21058.327	 67016.997	LIGHT	0.005911642	**
112L2	103	4	365240.00	 43305.440	21652.720	 68908.618	LIGHT	0.006571500	**
112L2	104	4	368149.00	 45055.390	22527.695	 71693.180	LIGHT	0.006654897	**
112L2	105	4	373510.00	 45853.677	22926.838	 72963.432	DARK	0.006834033	**
112L2	106	4	378397.50	 48901.846	24450.923	 77813.750	DARK	0.006848837	**
112L2	107	4	383208.50	 51524.107	25762.054	 81986.352	DARK	0.006596117	**
112L2	108	4	387106.00	 53112.286	26556.143	 84513.498	DARK	0.006374089	**
112L2	109	4	389978.00	 51901.497	25950.749	 82586.864	DARK	0.005798226	**
112L2	110	4	392274.50	 52380.511	26190.256	 83349.083	DARK	0.005982877	**
112L2	111	4	397369.25	 53656.281	26828.140	 85379.117	DARK	0.005379775	**
WT	  1	4	  2079.25	   765.679	  382.840	  1218.367	DARK	0.578177585	.
WT	  2	4	  5877.00	  2816.740	 1408.370	  4482.061	DARK	0.717503296	.
WT	  3	4	  9291.75	  4386.226	 2193.113	  6979.465	DARK	0.931095883	.
WT	  4	4	 12283.50	  5720.869	 2860.434	  9103.179	DARK	0.935142914	.
WT	  5	4	 14342.00	  5997.687	 2998.843	  9543.658	DARK	0.995605474	.
WT	  6	4	 16420.25	  6970.179	 3485.090	 11091.111	DARK	0.728782016	.
WT	  7	4	 19774.75	  8733.082	 4366.541	 13896.282	DARK	0.706812321	.
WT	  8	4	 21651.75	  9534.911	 4767.456	 15172.172	DARK	0.697818948	.
WT	  9	4	 22967.00	  9532.443	 4766.222	 15168.244	DARK	0.628283986	.
WT	 10	4	 24458.25	  9684.691	 4842.345	 15410.504	DARK	0.734893434	.
WT	 11	4	 25239.25	 10020.285	 5010.143	 15944.510	DARK	0.629950207	.
WT	 12	4	 28758.75	 12091.624	 6045.812	 19240.473	DARK	0.615709304	.
WT	 13	4	 32162.25	 13635.012	 6817.506	 21696.348	LIGHT	0.614259201	.
WT	 14	4	 34378.75	 14648.317	 7324.158	 23308.741	LIGHT	0.556722359	.
WT	 15	4	 36106.25	 15525.546	 7762.773	 24704.608	LIGHT	0.563843475	.
WT	 16	4	 37180.50	 16144.472	 8072.236	 25689.458	LIGHT	0.470550489	.
WT	 17	4	 39533.25	 18306.177	 9153.088	 29129.212	LIGHT	0.407840858	.
WT	 18	4	 41222.25	 19042.489	 9521.244	 30300.849	LIGHT	0.333684799	.
WT	 19	4	 43039.25	 19860.231	 9930.115	 31602.059	LIGHT	0.238335579	.
WT	 20	4	 45091.50	 21750.205	10875.102	 34609.430	LIGHT	0.151488647	.
WT	 21	4	 46718.00	 22405.949	11202.974	 35652.865	LIGHT	0.100553027	.
WT	 22	4	 47872.75	 23032.280	11516.140	 36649.498	LIGHT	0.047258609	*
WT	 23	4	 48637.75	 23422.113	11711.057	 37269.808	LIGHT	0.037090259	*
WT	 24	4	 50865.25	 24980.686	12490.343	 39749.846	LIGHT	0.035037051	*
WT	 25	4	 53892.00	 27645.654	13822.827	 43990.404	LIGHT	0.033663376	*
WT	 26	4	 57316.00	 30329.474	15164.737	 48260.961	LIGHT	0.037338326	*
WT	 27	4	 59601.75	 31863.146	15931.573	 50701.376	LIGHT	0.036579039	*
