Genotype	TimePoint	N	PerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 70	4	 3548.75	 2512.191	1256.096	 3997.457	DARK	0.0636536418	.
112L1	 71	4	 2489.50	 1166.552	 583.276	 1856.245	DARK	0.2646999164	.
112L1	 72	4	 2871.00	 1462.088	 731.044	 2326.508	DARK	0.0794939291	.
112L1	 73	4	 2628.00	 1451.341	 725.670	 2309.407	DARK	0.2468746817	.
112L1	 74	4	 2508.25	 2422.893	1211.447	 3855.364	DARK	0.1795844611	.
112L1	 75	4	 3871.75	 1663.049	 831.525	 2646.283	DARK	0.5486834249	.
112L1	 76	4	 2673.50	 1980.175	 990.088	 3150.901	DARK	0.6481901352	.
112L1	 77	4	 2837.00	 1052.620	 526.310	 1674.953	DARK	0.1771120462	.
112L1	 78	4	 3922.00	  989.029	 494.514	 1573.766	DARK	0.4720044814	.
112L1	 79	4	 3228.00	 2555.335	1277.667	 4066.108	DARK	0.6803584461	.
112L1	 80	4	 3048.00	 2821.447	1410.723	 4489.551	DARK	0.5137362241	.
112L1	 81	4	 3052.50	 1649.640	 824.820	 2624.946	DARK	0.1214267183	.
112L1	 82	4	 2295.25	 1775.270	 887.635	 2824.850	DARK	0.0235979165	*
112L1	 83	4	 2070.50	 1651.992	 825.996	 2628.688	DARK	0.4326037871	.
112L1	 84	4	 2683.00	 1759.395	 879.698	 2799.590	DARK	0.0236064864	*
112L1	 85	4	 2738.75	 1872.355	 936.178	 2979.335	DARK	0.0211142844	*
112L1	 86	4	 3220.25	 2063.538	1031.769	 3283.550	DARK	0.3793260211	.
112L1	 87	4	 3627.75	 1528.555	 764.277	 2432.271	LIGHT	0.0995441186	.
112L1	 88	4	 2970.75	 2756.021	1378.010	 4385.444	LIGHT	0.9353963250	.
112L1	 89	4	 2110.50	 3683.375	1841.687	 5861.071	LIGHT	0.4929193011	.
112L1	 90	4	 1489.75	  607.237	 303.619	  966.250	LIGHT	0.0037735602	***
112L1	 91	4	 3563.25	 4577.779	2288.890	 7284.268	LIGHT	0.8687691115	.
112L1	 92	4	  286.25	  310.974	 155.487	  494.829	LIGHT	0.0005137962	****
112L1	 93	4	  263.25	  274.107	 137.054	  436.166	LIGHT	0.0003916460	****
112L1	 94	4	 1151.50	  916.484	 458.242	 1458.331	LIGHT	0.0846044228	.
112L1	 95	4	 1758.00	 1266.225	 633.113	 2014.847	LIGHT	0.0889363686	.
112L1	 96	4	 1151.25	 1074.182	 537.091	 1709.264	LIGHT	0.0323765891	*
