Genotype	TimePoint	N	CumCenA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 72	4	105750.50	32750.438	16375.219	52113.256	DARK	0.11997451	.
112L1	 73	4	109199.25	30314.885	15157.442	48237.747	DARK	0.08185936	.
112L1	 74	4	111592.25	27588.022	13794.011	43898.699	DARK	0.06036502	.
112L1	 75	4	114080.50	28299.747	14149.874	45031.213	DARK	0.06165617	.
112L1	 76	4	116180.00	28474.347	14237.174	45309.040	DARK	0.06865790	.
112L1	 77	4	117926.00	28302.682	14151.341	45035.882	DARK	0.07547626	.
112L1	 78	4	120311.50	28111.945	14055.973	44732.379	DARK	0.07031922	.
112L1	 79	4	122630.25	29008.962	14504.481	46159.732	DARK	0.06849524	.
112L1	 80	4	124330.25	29823.715	14911.857	47456.185	DARK	0.07569592	.
112L1	 81	4	125728.00	29010.864	14505.432	46162.758	DARK	0.06868293	.
112L1	 82	4	127021.75	29190.280	14595.140	46448.250	DARK	0.07383340	.
112L1	 83	4	128009.50	29892.827	14946.414	47566.159	DARK	0.07734844	.
112L1	 84	4	130135.50	31001.923	15500.961	49330.977	DARK	0.07233675	.
112L1	 85	4	132250.75	32387.354	16193.677	51535.507	DARK	0.07592263	.
112L1	 86	4	134175.75	33015.937	16507.968	52535.723	DARK	0.08013397	.
112L1	 87	4	136341.50	32032.527	16016.263	50970.898	LIGHT	0.07029369	.
112L1	 88	4	138615.75	32447.569	16223.784	51631.323	LIGHT	0.06457258	.
112L1	 89	4	139595.50	32489.552	16244.776	51698.127	LIGHT	0.06527178	.
112L1	 90	4	140339.25	32128.978	16064.489	51124.373	LIGHT	0.07093964	.
112L1	 91	4	142217.25	33877.462	16938.731	53906.601	LIGHT	0.07373144	.
112L1	 92	4	142264.75	33920.268	16960.134	53974.716	LIGHT	0.07413430	.
112L1	 93	4	142301.25	33963.233	16981.616	54043.082	LIGHT	0.07388717	.
112L1	 94	4	142856.50	34237.310	17118.655	54479.201	LIGHT	0.07539642	.
112L1	 95	4	143503.50	34344.084	17172.042	54649.101	LIGHT	0.07517825	.
112L1	 96	4	143958.75	34396.979	17198.489	54733.269	LIGHT	0.07096308	.
112L1	 97	4	145015.00	34589.314	17294.657	55039.317	LIGHT	0.06691146	.
112L1	 98	4	145119.25	34702.024	17351.012	55218.665	LIGHT	0.06695383	.
112L1	 99	4	147404.25	30730.638	15365.319	48899.303	LIGHT	0.04594393	*
112L1	100	4	148469.00	29396.365	14698.183	46776.177	LIGHT	0.03964528	*
112L1	101	4	149675.75	28212.898	14106.449	44893.017	LIGHT	0.03468007	*
112L1	102	4	151680.50	26486.951	13243.475	42146.649	LIGHT	0.02665581	*
112L1	103	4	152752.00	25362.673	12681.336	40357.672	LIGHT	0.02224694	*
112L1	104	4	154513.00	25081.782	12540.891	39910.713	LIGHT	0.02043269	*
112L1	105	4	155813.00	25750.655	12875.328	40975.039	DARK	0.01958680	*
112L1	106	4	159337.75	25183.902	12591.951	40073.207	DARK	0.01715186	*
112L1	107	4	160877.25	25808.330	12904.165	41066.812	DARK	0.01925625	*
112L1	108	4	162790.00	25825.946	12912.973	41094.843	DARK	0.01915855	*
112L1	109	4	164335.25	25147.306	12573.653	40014.976	DARK	0.01765282	*
112L1	110	4	166563.50	24736.092	12368.046	39360.643	DARK	0.01582957	*
112L1	111	4	168370.25	24895.385	12447.692	39614.113	DARK	0.02140000	*
112L2	  1	4	  1447.50	 1859.841	  929.921	 2959.422	DARK	0.07494069	.
112L2	  2	4	  3106.75	 2872.327	 1436.163	 4570.513	DARK	0.02613332	*
112L2	  3	4	  5409.50	 4037.246	 2018.623	 6424.159	DARK	0.18825461	.
112L2	  4	4	  7347.00	 4843.475	 2421.737	 7707.049	DARK	0.34603254	.
112L2	  5	4	  9897.75	 4686.688	 2343.344	 7457.566	DARK	0.15886486	.
112L2	  6	4	 11643.00	 5065.429	 2532.714	 8060.227	DARK	0.12860002	.
112L2	  7	4	 13002.50	 4825.116	 2412.558	 7677.836	DARK	0.08527890	.
112L2	  8	4	 14546.00	 4407.519	 2203.760	 7013.346	DARK	0.09813218	.
112L2	  9	4	 15347.00	 3051.706	 1525.853	 4855.945	DARK	0.06185317	.
112L2	 10	4	 15985.25	 3339.039	 1669.519	 5313.155	DARK	0.02021473	*
112L2	 11	4	 18046.75	 3940.910	 1970.455	 6270.867	DARK	0.01144104	*
112L2	 12	4	 19762.75	 3459.139	 1729.569	 5504.262	DARK	0.01439331	*
112L2	 13	4	 21142.25	 4143.452	 2071.726	 6593.156	LIGHT	0.04208253	*
112L2	 14	4	 22829.00	 5502.075	 2751.037	 8755.029	LIGHT	0.07704156	.
112L2	 15	4	 23938.50	 6585.453	 3292.727	10478.926	LIGHT	0.05912551	.
112L2	 16	4	 24813.25	 7309.939	 3654.969	11631.744	LIGHT	0.06496211	.
112L2	 17	4	 25780.00	 6649.512	 3324.756	10580.857	LIGHT	0.06818988	.
112L2	 18	4	 26468.50	 6237.680	 3118.840	 9925.540	LIGHT	0.07784887	.
112L2	 19	4	 26960.00	 6559.066	 3279.533	10436.938	LIGHT	0.07686662	.
112L2	 20	4	 28422.25	 6185.413	 3092.707	 9842.373	LIGHT	0.08237356	.
112L2	 21	4	 29362.25	 5522.506	 2761.253	 8787.539	LIGHT	0.07232809	.
112L2	 22	4	 30163.25	 4493.083	 2246.542	 7149.498	LIGHT	0.06921478	.
112L2	 23	4	 30399.50	 4720.617	 2360.308	 7511.555	LIGHT	0.06719685	.
112L2	 24	4	 30749.25	 4259.995	 2129.998	 6778.603	LIGHT	0.06499568	.
112L2	 25	4	 30749.25	 4259.995	 2129.998	 6778.603	LIGHT	0.07235603	.
112L2	 26	4	 30903.75	 4327.958	 2163.979	 6886.747	LIGHT	0.07819475	.
112L2	 27	4	 30903.75	 4327.958	 2163.979	 6886.747	LIGHT	0.09499713	.
112L2	 28	4	 31056.50	 4388.771	 2194.386	 6983.515	LIGHT	0.07822436	.
112L2	 29	4	 31512.50	 4754.443	 2377.222	 7565.380	LIGHT	0.07292324	.
112L2	 30	4	 31951.25	 4115.884	 2057.942	 6549.290	LIGHT	0.06354064	.
112L2	 31	4	 31994.50	 4128.503	 2064.251	 6569.369	LIGHT	0.05328107	.
112L2	 32	4	 33754.25	 6006.545	 3003.272	 9557.753	DARK	0.07229786	.
112L2	 33	4	 35517.25	 6818.636	 3409.318	10849.971	DARK	0.07998033	.
112L2	 34	4	 36136.75	 7293.868	 3646.934	11606.171	DARK	0.07139850	.
112L2	 35	4	 36592.25	 7456.993	 3728.496	11865.739	DARK	0.05881947	.
112L2	 36	4	 38602.75	 8322.065	 4161.033	13242.263	DARK	0.06474450	.
112L2	 37	4	 39711.75	 8875.903	 4437.951	14123.542	DARK	0.07079110	.
112L2	 38	4	 41242.25	 9638.466	 4819.233	15336.950	DARK	0.06484136	.
112L2	 39	4	 42694.00	 9125.035	 4562.518	14519.968	DARK	0.06871963	.
112L2	 40	4	 44719.00	 8850.224	 4425.112	14082.681	DARK	0.05288434	.
112L2	 41	4	 46810.50	10345.046	 5172.523	16461.277	DARK	0.06626868	.
112L2	 42	4	 49047.50	11860.212	 5930.106	18872.244	DARK	0.06185652	.
112L2	 43	4	 51999.25	12136.946	 6068.473	19312.590	DARK	0.05635399	.
112L2	 44	4	 53395.75	12925.344	 6462.672	20567.107	DARK	0.05839808	.
112L2	 45	4	 54823.50	13702.927	 6851.464	21804.415	DARK	0.05683895	.
112L2	 46	4	 56294.00	14139.731	 7069.865	22499.467	DARK	0.06592443	.
112L2	 47	4	 57577.50	15025.617	 7512.808	23909.109	DARK	0.07048207	.
112L2	 48	4	 58870.00	16237.293	 8118.647	25837.157	DARK	0.07831508	.
112L2	 49	4	 60669.00	16181.846	 8090.923	25748.928	DARK	0.09745958	.
112L2	 50	4	 61794.00	15191.599	 7595.800	24173.225	LIGHT	0.09896154	.
112L2	 51	4	 62402.50	15118.874	 7559.437	24057.503	LIGHT	0.09335110	.
112L2	 52	4	 64138.75	16777.764	 8388.882	26697.167	LIGHT	0.11293179	.
112L2	 53	4	 66673.75	18640.156	 9320.078	29660.648	LIGHT	0.11353188	.
112L2	 54	4	 67679.50	18299.965	 9149.982	29119.328	LIGHT	0.11588455	.
112L2	 55	4	 69185.25	16877.712	 8438.856	26856.207	LIGHT	0.10830045	.
112L2	 56	4	 69979.00	16582.615	 8291.308	26386.642	LIGHT	0.10712200	.
112L2	 57	4	 70679.50	17804.692	 8902.346	28331.238	LIGHT	0.10686476	.
112L2	 58	4	 70923.75	17458.402	 8729.201	27780.213	LIGHT	0.10602228	.
112L2	 59	4	 71844.75	16843.797	 8421.898	26802.240	LIGHT	0.10411440	.
112L2	 60	4	 72262.50	16896.883	 8448.442	26886.712	LIGHT	0.10654706	.
112L2	 61	4	 72262.50	16896.883	 8448.442	26886.712	LIGHT	0.11065003	.
112L2	 62	4	 72262.50	16896.883	 8448.442	26886.712	LIGHT	0.10473231	.
112L2	 63	4	 72321.50	16811.997	 8405.999	26751.639	LIGHT	0.10879568	.
112L2	 64	4	 72849.50	16128.211	 8064.106	25663.583	LIGHT	0.10736925	.
112L2	 65	4	 74007.50	16641.205	 8320.602	26479.870	LIGHT	0.10618894	.
112L2	 66	4	 74034.75	16642.692	 8321.346	26482.237	LIGHT	0.09349359	.
112L2	 67	4	 74034.75	16642.692	 8321.346	26482.237	LIGHT	0.10468436	.
112L2	 68	4	 74034.75	16642.692	 8321.346	26482.237	LIGHT	0.10754036	.
112L2	 69	4	 74440.50	17243.026	 8621.513	27437.502	DARK	0.12305913	.
112L2	 70	4	 75309.00	18022.744	 9011.372	28678.208	DARK	0.12379727	.
112L2	 71	4	 77216.00	17268.421	 8634.210	27477.911	DARK	0.13022372	.
112L2	 72	4	 77934.50	18302.914	 9151.457	29124.020	DARK	0.11997451	.
112L2	 73	4	 78562.00	18263.093	 9131.547	29060.657	DARK	0.08185936	.
112L2	 74	4	 79186.00	18958.599	 9479.299	30167.361	DARK	0.06036502	.
112L2	 75	4	 80428.00	20554.703	10277.351	32707.119	DARK	0.06165617	.
112L2	 76	4	 82620.00	23271.927	11635.964	37030.829	DARK	0.06865790	.
112L2	 77	4	 85134.25	25036.880	12518.440	39839.264	DARK	0.07547626	.
112L2	 78	4	 87526.50	25358.376	12679.188	40350.834	DARK	0.07031922	.
112L2	 79	4	 88616.25	25997.174	12998.587	41367.304	DARK	0.06849524	.
112L2	 80	4	 89613.25	26787.252	13393.626	42624.496	DARK	0.07569592	.
112L2	 81	4	 90894.75	27312.920	13656.460	43460.951	DARK	0.06868293	.
112L2	 82	4	 93018.75	27652.515	13826.258	44001.322	DARK	0.07383340	.
112L2	 83	4	 94419.75	28137.856	14068.928	44773.607	DARK	0.07734844	.
112L2	 84	4	 94874.50	28414.274	14207.137	45213.451	DARK	0.07233675	.
112L2	 85	4	 96248.50	29395.751	14697.875	46775.200	DARK	0.07592263	.
112L2	 86	4	 97952.50	29454.041	14727.021	46867.953	DARK	0.08013397	.
112L2	 87	4	 98335.50	29307.630	14653.815	46634.979	LIGHT	0.07029369	.
112L2	 88	4	 98702.50	29212.942	14606.471	46484.309	LIGHT	0.06457258	.
112L2	 89	4	 99658.50	28778.067	14389.034	45792.327	LIGHT	0.06527178	.
112L2	 90	4	103339.00	30016.291	15008.145	47762.617	LIGHT	0.07093964	.
112L2	 91	4	104416.00	29784.962	14892.481	47394.521	LIGHT	0.07373144	.
112L2	 92	4	105982.75	28802.509	14401.255	45831.220	LIGHT	0.07413430	.
112L2	 93	4	106675.75	27966.486	13983.243	44500.920	LIGHT	0.07388717	.
112L2	 94	4	106911.50	27909.031	13954.516	44409.497	LIGHT	0.07539642	.
112L2	 95	4	106911.50	27909.031	13954.516	44409.497	LIGHT	0.07517825	.
112L2	 96	4	107779.50	26995.507	13497.753	42955.875	LIGHT	0.07096308	.
