Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 71	4	185931.50	 59457.258	29728.629	 94609.766	DARK	0.15875540	.
112L1	 72	4	188802.50	 58256.246	29128.123	 92698.688	DARK	0.16548892	.
112L1	 73	4	191430.50	 58577.652	29288.826	 93210.117	DARK	0.16061959	.
112L1	 74	4	193938.75	 57435.021	28717.510	 91391.935	DARK	0.16214018	.
112L1	 75	4	197810.50	 57339.494	28669.747	 91239.931	DARK	0.16965437	.
112L1	 76	4	200484.00	 58482.421	29241.210	 93058.582	DARK	0.16620127	.
112L1	 77	4	203321.00	 59182.789	29591.394	 94173.023	DARK	0.15916180	.
112L1	 78	4	207243.00	 59877.126	29938.563	 95277.868	DARK	0.15285382	.
112L1	 79	4	210471.00	 62364.566	31182.283	 99235.942	DARK	0.14414844	.
112L1	 80	4	213519.00	 64976.409	32488.204	103391.966	DARK	0.13892803	.
112L1	 81	4	216571.50	 66497.923	33248.961	105813.034	DARK	0.13575161	.
112L1	 82	4	218866.75	 65932.779	32966.390	104913.765	DARK	0.12551772	.
112L1	 83	4	220937.25	 66021.461	33010.731	105054.878	DARK	0.11757318	.
112L1	 84	4	223620.25	 67277.130	33638.565	107052.928	DARK	0.10822773	.
112L1	 85	4	226359.00	 66932.909	33466.455	106505.195	DARK	0.09850886	.
112L1	 86	4	229579.25	 68806.032	34403.016	109485.751	DARK	0.09305540	.
112L1	 87	4	233207.00	 67717.479	33858.740	107753.621	LIGHT	0.08790017	.
112L1	 88	4	236177.75	 65079.570	32539.785	103556.119	LIGHT	0.08757852	.
112L1	 89	4	238288.25	 66864.869	33432.435	106396.928	LIGHT	0.08620707	.
112L1	 90	4	239778.00	 67144.660	33572.330	106842.138	LIGHT	0.07720740	.
112L1	 91	4	243341.25	 69447.278	34723.639	110506.116	LIGHT	0.07759530	.
112L1	 92	4	243627.50	 69650.815	34825.407	110829.989	LIGHT	0.07058641	.
112L1	 93	4	243890.75	 69756.346	34878.173	110997.913	LIGHT	0.06321082	.
112L1	 94	4	245042.25	 68960.559	34480.280	109731.638	LIGHT	0.05643539	.
112L1	 95	4	246800.25	 68964.769	34482.384	109738.337	LIGHT	0.05224892	.
112L1	 96	4	247951.50	 69896.680	34948.340	111221.215	LIGHT	0.04692103	*
112L1	 97	4	249446.00	 70840.047	35420.023	112722.323	LIGHT	0.04267478	*
112L1	 98	4	249999.75	 71128.354	35564.177	113181.084	LIGHT	0.04066450	*
112L1	 99	4	252475.75	 70307.848	35153.924	111875.476	LIGHT	0.03495284	*
112L1	100	4	253700.25	 71199.151	35599.576	113293.738	LIGHT	0.03000081	*
