Genotype	TimePoint	N	CenT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 74	4	3020.00	3274.479	1637.239	5210.427	DARK	0.4229303602	.
112L1	 75	4	3094.25	1022.458	 511.229	1626.959	DARK	0.3725744669	.
112L1	 76	4	2815.75	2758.973	1379.487	4390.142	DARK	0.6096330779	.
112L1	 77	4	2249.00	 193.170	  96.585	 307.377	DARK	0.2799961432	.
112L1	 78	4	3091.50	 560.556	 280.278	 891.970	DARK	0.0686238057	.
112L1	 79	4	2982.25	2477.356	1238.678	3942.027	DARK	0.3066555962	.
112L1	 80	4	2247.75	2089.422	1044.711	3324.737	DARK	0.6775601016	.
112L1	 81	4	1925.25	1376.068	 688.034	2189.631	DARK	0.1608346007	.
112L1	 82	4	1675.00	1401.927	 700.963	2230.778	DARK	0.3699112454	.
112L1	 83	4	1331.50	1883.096	 941.548	2996.427	DARK	0.6989968713	.
112L1	 84	4	2985.00	1775.183	 887.592	2824.713	DARK	0.0164255686	*
112L1	 85	4	2779.50	2757.011	1378.505	4387.019	DARK	0.4993944664	.
112L1	 86	4	2512.00	1104.886	 552.443	1758.121	DARK	0.9283434556	.
112L1	 87	4	2591.00	1957.109	 978.554	3114.196	LIGHT	0.2786964779	.
112L1	 88	4	2739.75	3563.757	1781.879	5670.733	LIGHT	0.4429270395	.
112L1	 89	4	1244.00	2350.086	1175.043	3739.511	LIGHT	0.9998429554	.
112L1	 90	4	 889.00	 872.835	 436.417	1388.875	LIGHT	0.0050091925	**
112L1	 91	4	2361.00	2809.282	1404.641	4470.194	LIGHT	0.7311831697	.
112L1	 92	4	 174.25	 288.077	 144.038	 458.394	LIGHT	0.1939811545	.
112L1	 93	4	 121.00	 226.283	 113.142	 360.067	LIGHT	0.4800918882	.
112L1	 94	4	 753.50	 855.770	 427.885	1361.720	LIGHT	0.1358423422	.
112L1	 95	4	 876.00	1135.126	 567.563	1806.238	LIGHT	0.3900126311	.
112L1	 96	4	 717.75	1163.710	 581.855	1851.722	LIGHT	0.4383747766	.
112L1	 97	4	1318.25	2420.232	1210.116	3851.130	LIGHT	0.4166970693	.
112L1	 98	4	 279.25	 459.829	 229.914	 731.690	LIGHT	0.6473570373	.
112L1	 99	4	2830.50	5040.956	2520.478	8021.286	LIGHT	0.4191838070	.
