Genotype	TimePoint	N	DistD	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 69	4	 5045.00	  676.569	  338.285	 1076.573	DARK	0.0641234764	.
112L1	 70	4	 5332.00	 4860.206	 2430.103	 7733.673	DARK	0.3478938659	.
112L1	 71	4	 8309.00	 8399.021	 4199.510	13364.716	DARK	0.7250638311	.
112L1	 72	4	 8476.00	 8325.218	 4162.609	13247.279	DARK	0.5181616473	.
112L1	 73	4	 9414.00	11581.666	 5790.833	18429.015	DARK	0.8291176076	.
112L1	 74	4	11295.50	16741.905	 8370.952	26640.106	DARK	0.6039332040	.
112L1	 75	4	18974.75	25558.900	12779.450	40669.913	DARK	0.3515827868	.
112L1	 76	4	 9574.00	10545.971	 5272.986	16780.993	DARK	0.3690472208	.
112L1	 77	4	 7886.25	 8669.306	 4334.653	13794.800	DARK	0.5560922860	.
112L1	 78	4	 8982.75	 7476.030	 3738.015	11896.033	DARK	0.3351447144	.
112L1	 79	4	15246.50	21738.760	10869.380	34591.218	DARK	0.4338981592	.
112L1	 80	4	 7196.25	 6555.116	 3277.558	10430.652	DARK	0.6190548116	.
112L1	 81	4	 8690.00	 7936.273	 3968.136	12628.381	DARK	0.2235443372	.
112L1	 82	4	14934.00	21738.291	10869.146	34590.473	DARK	0.4153374092	.
112L1	 83	4	10663.00	13822.038	 6911.019	21993.947	DARK	0.4806545315	.
112L1	 84	4	11173.75	13525.931	 6762.966	21522.775	DARK	0.3338778585	.
112L1	 85	4	13685.75	18941.532	 9470.766	30140.204	DARK	0.4327239652	.
112L1	 86	4	12031.25	14961.694	 7480.847	23807.394	DARK	0.5037096152	.
112L1	 87	4	13859.75	19748.039	 9874.020	31423.538	LIGHT	0.4416815748	.
112L1	 88	4	17191.25	18239.168	 9119.584	29022.586	LIGHT	0.2013689973	.
112L1	 89	4	21515.00	36336.777	18168.388	57819.920	LIGHT	0.4700659583	.
112L1	 90	4	19472.50	25663.352	12831.676	40836.121	LIGHT	0.3247804188	.
112L1	 91	4	 2914.25	 3571.146	 1785.573	 5682.490	LIGHT	0.5988155687	.
112L1	 92	4	  738.00	  728.687	  364.343	 1159.504	LIGHT	0.0022132756	***
112L1	 93	4	 3432.00	 5110.659	 2555.330	 8132.199	LIGHT	0.2710747158	.
112L1	 94	4	 1574.75	  618.072	  309.036	  983.490	LIGHT	0.1315005585	.
112L1	 95	4	 2666.25	 2803.612	 1401.806	 4461.173	LIGHT	0.2515066204	.
