Genotype	TimePoint	N	Speed	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 74	4	 4.75	 6.946	3.473	11.053	DARK	6.210666e-01	.
112L1	 75	4	 8.00	10.708	5.354	17.039	DARK	3.438222e-01	.
112L1	 76	4	 4.00	 4.830	2.415	 7.686	DARK	4.629357e-01	.
112L1	 77	4	 3.50	 3.697	1.848	 5.883	DARK	4.845611e-01	.
112L1	 78	4	 3.75	 3.500	1.750	 5.569	DARK	4.826276e-01	.
112L1	 79	4	 6.50	 9.037	4.518	14.380	DARK	4.199793e-01	.
112L1	 80	4	 2.75	 2.986	1.493	 4.752	DARK	6.410621e-01	.
112L1	 81	4	 4.00	 3.367	1.683	 5.357	DARK	1.943987e-01	.
112L1	 82	4	 6.25	 9.251	4.626	14.721	DARK	4.566153e-01	.
112L1	 83	4	 4.50	 5.686	2.843	 9.048	DARK	4.696681e-01	.
112L1	 84	4	 4.75	 5.560	2.780	 8.848	DARK	3.191761e-01	.
112L1	 85	4	 5.75	 8.180	4.090	13.017	DARK	4.693320e-01	.
112L1	 86	4	 5.25	 6.551	3.276	10.424	DARK	5.132676e-01	.
112L1	 87	4	 6.25	 8.500	4.250	13.525	LIGHT	3.992063e-01	.
112L1	 88	4	 7.50	 7.681	3.841	12.222	LIGHT	1.982219e-01	.
112L1	 89	4	 9.25	15.196	7.598	24.180	LIGHT	4.552434e-01	.
112L1	 90	4	 8.50	10.661	5.331	16.965	LIGHT	2.687030e-01	.
112L1	 91	4	 1.25	 1.500	0.750	 2.387	LIGHT	6.362795e-01	.
112L1	 92	4	 0.25	 0.500	0.250	 0.796	LIGHT	8.877817e-03	**
112L1	 93	4	 1.50	 2.380	1.190	 3.788	LIGHT	3.754028e-01	.
112L1	 94	4	 0.75	 0.500	0.250	 0.796	LIGHT	1.848138e-01	.
112L1	 95	4	 1.25	 1.258	0.629	 2.002	LIGHT	2.740159e-01	.
112L1	 96	4	 0.75	 0.500	0.250	 0.796	LIGHT	1.566237e-01	.
112L1	 97	4	 1.00	 1.414	0.707	 2.250	LIGHT	3.227378e-01	.
112L1	 98	4	 0.75	 0.500	0.250	 0.796	LIGHT	1.040826e-01	.
112L1	 99	4	 2.50	 3.109	1.555	 4.947	LIGHT	8.719989e-01	.
112L1	100	4	 2.50	 3.109	1.555	 4.947	LIGHT	8.970659e-01	.
112L1	101	4	 2.50	 3.697	1.848	 5.883	LIGHT	9.619495e-01	.
112L1	102	4	 4.25	 5.852	2.926	 9.312	LIGHT	6.651710e-01	.
112L1	103	4	 9.00	14.024	7.012	22.315	LIGHT	4.146267e-01	.
112L1	104	4	 6.25	 8.539	4.270	13.588	LIGHT	3.632198e-01	.
112L1	105	4	 3.75	 2.986	1.493	 4.752	DARK	3.205365e-01	.
112L1	106	4	 5.25	 5.439	2.720	 8.655	DARK	3.294374e-01	.
112L1	107	4	 6.50	 9.000	4.500	14.321	DARK	5.526481e-01	.
112L1	108	4	 4.75	 7.500	3.750	11.934	DARK	6.843981e-01	.
112L1	109	4	 8.00	12.675	6.338	20.169	DARK	4.169865e-01	.
112L1	110	4	 4.25	 4.717	2.358	 7.506	DARK	4.042028e-01	.
112L1	111	4	 5.00	 6.683	3.342	10.635	DARK	6.405218e-01	.
112L2	  1	4	 2.75	 0.957	0.479	 1.523	DARK	6.024293e-01	.
112L2	  2	4	 2.50	 1.291	0.645	 2.054	DARK	8.445759e-01	.
112L2	  3	4	 3.25	 1.500	0.750	 2.387	DARK	1.645487e-01	.
112L2	  4	4	 2.00	 0.000	0.000	 0.000	DARK	8.668675e-01	.
112L2	  5	4	 2.50	 0.577	0.289	 0.919	DARK	1.784467e-01	.
112L2	  6	4	 4.00	 3.559	1.780	 5.663	DARK	1.682633e-01	.
112L2	  7	4	 5.25	 5.315	2.658	 8.457	DARK	2.740159e-01	.
112L2	  8	4	 2.25	 1.258	0.629	 2.002	DARK	7.059294e-01	.
112L2	  9	4	 2.25	 1.500	0.750	 2.387	DARK	4.750028e-01	.
112L2	 10	4	 1.50	 0.577	0.289	 0.919	DARK	3.325775e-02	*
112L2	 11	4	 2.25	 0.500	0.250	 0.796	DARK	7.762015e-02	.
112L2	 12	4	 2.75	 1.500	0.750	 2.387	DARK	5.391256e-02	.
112L2	 13	4	 1.75	 0.500	0.250	 0.796	LIGHT	9.769492e-02	.
112L2	 14	4	 2.25	 0.957	0.479	 1.523	LIGHT	4.621153e-01	.
112L2	 15	4	 2.00	 2.160	1.080	 3.437	LIGHT	8.410550e-01	.
112L2	 16	4	 2.75	 4.193	2.097	 6.672	LIGHT	6.432838e-01	.
112L2	 17	4	 2.00	 0.816	0.408	 1.299	LIGHT	3.543903e-01	.
112L2	 18	4	 1.75	 1.708	0.854	 2.718	LIGHT	5.072745e-01	.
112L2	 19	4	 2.50	 1.291	0.645	 2.054	LIGHT	2.801427e-01	.
112L2	 20	4	 2.00	 1.414	0.707	 2.250	LIGHT	5.483227e-01	.
112L2	 21	4	 2.00	 1.155	0.577	 1.837	LIGHT	7.242044e-01	.
112L2	 22	4	 2.75	 3.594	1.797	 5.719	LIGHT	4.140033e-01	.
112L2	 23	4	 2.50	 1.732	0.866	 2.756	LIGHT	4.124005e-01	.
112L2	 24	4	 1.75	 1.258	0.629	 2.002	LIGHT	8.111194e-01	.
112L2	 25	4	 2.00	 1.414	0.707	 2.250	LIGHT	5.121185e-01	.
112L2	 26	4	 1.75	 0.500	0.250	 0.796	LIGHT	1.405615e-01	.
112L2	 27	4	 2.00	 0.816	0.408	 1.299	LIGHT	4.598949e-01	.
112L2	 28	4	 1.50	 0.577	0.289	 0.919	LIGHT	1.000000e+00	.
112L2	 29	4	 2.00	 1.633	0.816	 2.598	LIGHT	5.757166e-01	.
112L2	 30	4	 2.25	 1.708	0.854	 2.718	LIGHT	4.543461e-01	.
