Genotype	TimePoint	N	CumCenT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 57	4	119873.25	43385.733	21692.866	69036.383	LIGHT	0.10188180	.
112L1	 58	4	120651.00	43597.742	21798.871	69373.736	LIGHT	0.10129506	.
112L1	 59	4	120782.75	43702.264	21851.132	69540.054	LIGHT	0.09997437	.
112L1	 60	4	121118.75	44024.859	22012.430	70053.376	LIGHT	0.10288260	.
112L1	 61	4	121277.75	44076.936	22038.468	70136.241	LIGHT	0.10694034	.
112L1	 62	4	122219.75	43523.352	21761.676	69255.365	LIGHT	0.10179069	.
112L1	 63	4	122614.50	43748.251	21874.126	69613.230	LIGHT	0.10566234	.
112L1	 64	4	123320.75	44297.005	22148.503	70486.420	LIGHT	0.10463440	.
112L1	 65	4	124232.25	43829.406	21914.703	69742.366	LIGHT	0.10412512	.
112L1	 66	4	126715.00	44324.465	22162.233	70530.115	LIGHT	0.09267308	.
112L1	 67	4	127637.75	45185.532	22592.766	71900.265	LIGHT	0.10361967	.
112L1	 68	4	128939.50	45894.947	22947.474	73029.103	LIGHT	0.10608600	.
112L1	 69	4	131356.50	46435.350	23217.675	73889.004	DARK	0.11854802	.
112L1	 70	4	133702.25	45329.766	22664.883	72129.773	DARK	0.11757748	.
112L1	 71	4	135995.75	46546.459	23273.230	74065.803	DARK	0.12292807	.
112L1	 72	4	139004.75	46337.988	23168.994	73734.079	DARK	0.11282837	.
112L1	 73	4	143378.00	43488.660	21744.330	69200.163	DARK	0.08001814	.
112L1	 74	4	146398.00	40373.500	20186.750	64243.248	DARK	0.06156224	.
112L1	 75	4	149492.25	41176.077	20588.038	65520.327	DARK	0.06134451	.
112L1	 76	4	152308.00	41064.421	20532.211	65342.658	DARK	0.06340434	.
112L1	 77	4	154557.00	40984.554	20492.277	65215.571	DARK	0.06961019	.
112L1	 78	4	157648.50	40849.443	20424.721	65000.579	DARK	0.06488995	.
112L1	 79	4	160630.75	41713.783	20856.892	66375.938	DARK	0.06210407	.
112L1	 80	4	162878.50	42496.867	21248.433	67621.998	DARK	0.06670050	.
112L1	 81	4	164803.75	41457.401	20728.700	65967.976	DARK	0.05961452	.
112L1	 82	4	166478.75	41815.302	20907.651	66537.477	DARK	0.06350603	.
112L1	 83	4	167810.25	42919.007	21459.504	68293.718	DARK	0.06578475	.
112L1	 84	4	170795.25	44154.580	22077.290	70259.790	DARK	0.06025923	.
112L1	 85	4	173574.75	46015.551	23007.776	73221.011	DARK	0.06323338	.
112L1	 86	4	176086.75	46690.009	23345.004	74294.223	DARK	0.06613649	.
112L1	 87	4	178677.75	45918.596	22959.298	73066.733	LIGHT	0.06018534	.
112L1	 88	4	181417.50	46788.228	23394.114	74450.512	LIGHT	0.05756998	.
112L1	 89	4	182661.50	46708.596	23354.298	74323.799	LIGHT	0.05829518	.
112L1	 90	4	183550.50	46263.614	23131.807	73615.733	LIGHT	0.06292858	.
112L1	 91	4	185911.50	48543.424	24271.712	77243.419	LIGHT	0.06673320	.
112L1	 92	4	186085.75	48747.879	24373.939	77568.753	LIGHT	0.06733425	.
112L1	 93	4	186206.75	48904.678	24452.339	77818.257	LIGHT	0.06733716	.
112L1	 94	4	186960.25	49394.028	24697.014	78596.921	LIGHT	0.06888783	.
112L1	 95	4	187836.25	49733.064	24866.532	79136.403	LIGHT	0.06927385	.
112L1	 96	4	188554.00	49895.916	24947.958	79395.536	LIGHT	0.06567075	.
112L1	 97	4	189872.25	50118.354	25059.177	79749.486	LIGHT	0.06223246	.
112L1	 98	4	190151.50	50453.635	25226.818	80282.992	LIGHT	0.06241552	.
112L1	 99	4	192982.00	45990.002	22995.001	73180.356	LIGHT	0.04454882	*
112L1	100	4	194302.75	44661.472	22330.736	71066.368	LIGHT	0.03924416	*
112L1	101	4	195858.25	43567.295	21783.648	69325.289	LIGHT	0.03525799	*
112L1	102	4	198392.50	41745.014	20872.507	66425.633	LIGHT	0.02814495	*
112L1	103	4	199906.00	40588.963	20294.481	64586.097	LIGHT	0.02388404	*
112L1	104	4	202277.75	40472.238	20236.119	64400.362	LIGHT	0.02226181	*
112L1	105	4	204047.00	41361.658	20680.829	65815.628	DARK	0.02158496	*
112L1	106	4	208448.75	40272.975	20136.487	64083.290	DARK	0.01857040	*
112L1	107	4	210539.00	41137.755	20568.877	65459.347	DARK	0.02051007	*
112L1	108	4	213106.75	41226.927	20613.463	65601.241	DARK	0.02029062	*
112L1	109	4	215121.75	40599.213	20299.607	64602.408	DARK	0.01909476	*
112L1	110	4	217990.25	40071.106	20035.553	63762.071	DARK	0.01725954	*
112L1	111	4	220414.75	40302.686	20151.343	64130.566	DARK	0.02140256	*
112L2	  1	4	  1899.25	 2469.520	 1234.760	 3929.557	DARK	0.07268864	.
112L2	  2	4	  4106.50	 3795.989	 1897.994	 6040.265	DARK	0.02906329	*
112L2	  3	4	  7089.00	 5336.280	 2668.140	 8491.213	DARK	0.18967970	.
112L2	  4	4	  9633.25	 6373.480	 3186.740	10141.629	DARK	0.31263559	.
112L2	  5	4	 12945.75	 6087.935	 3043.967	 9687.263	DARK	0.13995643	.
112L2	  6	4	 15200.75	 6534.115	 3267.057	10397.235	DARK	0.11292743	.
112L2	  7	4	 16914.75	 6188.279	 3094.140	 9846.933	DARK	0.07417961	.
112L2	  8	4	 18898.25	 5410.796	 2705.398	 8609.784	DARK	0.07090715	.
112L2	  9	4	 19884.50	 3759.217	 1879.608	 5981.753	DARK	0.04945509	*
112L2	 10	4	 20803.00	 4239.566	 2119.783	 6746.095	DARK	0.01799409	*
112L2	 11	4	 23504.75	 5117.449	 2558.724	 8143.003	DARK	0.01215821	*
112L2	 12	4	 25666.25	 4794.503	 2397.251	 7629.123	DARK	0.01634341	*
112L2	 13	4	 27505.50	 5724.380	 2862.190	 9108.766	LIGHT	0.04479115	*
112L2	 14	4	 29797.00	 7530.523	 3765.262	11982.743	LIGHT	0.07910816	.
112L2	 15	4	 31189.50	 8873.897	 4436.949	14120.351	LIGHT	0.06515307	.
112L2	 16	4	 32282.00	 9740.441	 4870.221	15499.216	LIGHT	0.07142557	.
112L2	 17	4	 33472.25	 8932.166	 4466.083	14213.070	LIGHT	0.07424294	.
112L2	 18	4	 34435.50	 8301.239	 4150.619	13209.123	LIGHT	0.08107357	.
112L2	 19	4	 35103.75	 8655.145	 4327.573	13772.268	LIGHT	0.08315551	.
112L2	 20	4	 36864.50	 8084.057	 4042.029	12863.539	LIGHT	0.08659357	.
112L2	 21	4	 38164.75	 6913.644	 3456.822	11001.151	LIGHT	0.07836510	.
112L2	 22	4	 39228.75	 5637.780	 2818.890	 8970.966	LIGHT	0.07741739	.
112L2	 23	4	 39522.50	 5936.863	 2968.431	 9446.873	LIGHT	0.07435075	.
112L2	 24	4	 39956.00	 5356.769	 2678.384	 8523.814	LIGHT	0.06756946	.
112L2	 25	4	 39956.00	 5356.769	 2678.384	 8523.814	LIGHT	0.07584233	.
112L2	 26	4	 40131.50	 5427.610	 2713.805	 8636.539	LIGHT	0.08433636	.
112L2	 27	4	 40131.50	 5427.610	 2713.805	 8636.539	LIGHT	0.10369182	.
112L2	 28	4	 40351.25	 5471.865	 2735.932	 8706.958	LIGHT	0.08830794	.
112L2	 29	4	 40941.50	 5909.651	 2954.825	 9403.573	LIGHT	0.08081332	.
112L2	 30	4	 41508.75	 5141.170	 2570.585	 8180.748	LIGHT	0.07568878	.
112L2	 31	4	 41559.25	 5158.457	 2579.228	 8208.256	LIGHT	0.06544147	.
112L2	 32	4	 43690.75	 7132.250	 3566.125	11349.001	DARK	0.08031094	.
112L2	 33	4	 45906.50	 8079.971	 4039.986	12857.037	DARK	0.08487315	.
112L2	 34	4	 46651.75	 8665.564	 4332.782	13788.846	DARK	0.07447003	.
112L2	 35	4	 47246.25	 8887.439	 4443.720	14141.899	DARK	0.06082191	.
