Genotype	TimePoint	N	TareDistK	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	100	4	426985.75	150435.076	 75217.538	239375.776	LIGHT	0.3659871	.
WT	101	4	431901.25	152981.458	 76490.729	243427.638	LIGHT	0.3788101	.
WT	102	4	437638.00	156347.616	 78173.808	248783.946	LIGHT	0.3961308	.
WT	103	4	441118.50	158702.723	 79351.362	252531.447	LIGHT	0.4068901	.
WT	104	4	444181.00	159169.829	 79584.915	253274.717	LIGHT	0.4112637	.
WT	105	4	447691.75	161626.076	 80813.038	257183.155	DARK	0.4092869	.
WT	106	4	452155.50	161903.789	 80951.895	257625.058	DARK	0.4112758	.
WT	107	4	459505.75	163130.626	 81565.313	259577.229	DARK	0.4254964	.
WT	108	4	464724.50	161927.387	 80963.694	257662.608	DARK	0.4329036	.
WT	109	4	468681.00	161009.732	 80504.866	256202.413	DARK	0.4387149	.
WT	110	4	472121.25	162420.673	 81210.337	258447.535	DARK	0.4359269	.
WT	111	4	477585.25	160999.952	 80499.976	256186.850	DARK	0.4410572	.
