Genotype	TimePoint	N	YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 63	4	 359.50	 529.623	 264.811	  842.748	LIGHT	0.3244449832	.
112L1	 64	4	 439.75	 419.317	 209.659	  667.227	LIGHT	0.0039759319	***
112L1	 65	4	1025.00	 825.222	 412.611	 1313.112	LIGHT	0.0018076627	***
112L1	 66	4	1898.50	1559.585	 779.793	 2481.648	LIGHT	0.4805850146	.
112L1	 67	4	 391.75	 441.072	 220.536	  701.845	LIGHT	0.0709886846	.
112L1	 68	4	 886.25	 772.437	 386.218	 1229.119	LIGHT	0.2137825318	.
112L1	 69	4	3071.75	1403.599	 701.800	 2233.440	DARK	0.0285927329	*
112L1	 70	4	3222.50	2371.451	1185.725	 3773.507	DARK	0.4979049641	.
112L1	 71	4	2360.50	1022.301	 511.150	 1626.709	DARK	0.2965683704	.
112L1	 72	4	1984.75	1008.095	 504.048	 1604.105	DARK	0.2958477182	.
112L1	 73	4	1813.75	1009.448	 504.724	 1606.257	DARK	0.2113065079	.
112L1	 74	4	1919.25	1832.977	 916.488	 2916.675	DARK	0.3122580620	.
112L1	 75	4	2591.25	1668.418	 834.209	 2654.825	DARK	0.6384140313	.
112L1	 76	4	2387.75	2117.621	1058.810	 3369.607	DARK	0.1240136256	.
112L1	 77	4	2855.50	1328.513	 664.256	 2113.960	DARK	0.0220264483	*
112L1	 78	4	2809.25	1143.150	 571.575	 1819.006	DARK	0.1373565727	.
112L1	 79	4	2639.75	2506.231	1253.116	 3987.974	DARK	0.5602253450	.
112L1	 80	4	2388.50	2202.968	1101.484	 3505.414	DARK	0.6074261436	.
112L1	 81	4	2716.50	1824.091	 912.045	 2902.536	DARK	0.2206311708	.
112L1	 82	4	1752.50	1750.172	 875.086	 2784.914	DARK	0.0080234836	**
112L1	 83	4	1452.00	1321.010	 660.505	 2102.022	DARK	0.0906314011	.
112L1	 84	4	2395.00	1627.066	 813.533	 2589.026	DARK	0.0171664131	*
112L1	 85	4	2017.75	1755.856	 877.928	 2793.959	DARK	0.0289885739	*
112L1	 86	4	2333.25	1562.731	 781.365	 2486.653	DARK	0.2399049376	.
112L1	 87	4	3286.25	2517.605	1258.802	 4006.071	LIGHT	0.1099554741	.
112L1	 88	4	1616.00	1385.580	 692.790	 2204.767	LIGHT	0.8247620639	.
112L1	 89	4	1482.25	2486.839	1243.420	 3957.116	LIGHT	0.2603425921	.
112L1	 90	4	 822.00	 610.064	 305.032	  970.748	LIGHT	0.0003554111	****
112L1	 91	4	2635.00	3498.675	1749.337	 5567.172	LIGHT	0.6857143019	.
112L1	 92	4	 380.25	 244.978	 122.489	  389.815	LIGHT	0.0016179895	***
112L1	 93	4	 294.25	 217.245	 108.623	  345.686	LIGHT	0.0006759950	****
112L1	 94	4	 831.75	 458.205	 229.102	  729.106	LIGHT	0.0476303820	*
112L1	 95	4	1347.25	 990.482	 495.241	 1576.078	LIGHT	0.0713811933	.
112L1	 96	4	 823.25	 699.499	 349.750	 1113.059	LIGHT	0.0344514375	*
112L1	 97	4	1062.25	1859.833	 929.916	 2959.409	LIGHT	0.0882446252	.
112L1	 98	4	 480.25	 387.461	 193.731	  616.537	LIGHT	0.0363185680	*
112L1	 99	4	2827.25	3756.706	1878.353	 5977.757	LIGHT	0.1231273112	.
112L1	100	4	1154.00	1017.614	 508.807	 1619.251	LIGHT	0.0618867074	.
112L1	101	4	 875.75	 889.746	 444.873	 1415.785	LIGHT	0.0788047579	.
112L1	102	4	1643.50	1414.987	 707.493	 2251.559	LIGHT	0.4641692656	.
112L1	103	4	3451.50	3152.300	1576.150	 5016.013	LIGHT	0.8499840864	.
112L1	104	4	2188.00	1017.314	 508.657	 1618.774	LIGHT	0.4800902023	.
112L1	105	4	2340.00	2483.030	1241.515	 3951.054	DARK	0.1571442790	.
112L1	106	4	2590.75	1289.750	 644.875	 2052.280	DARK	0.1907124671	.
112L1	107	4	1415.50	 804.786	 402.393	 1280.595	DARK	0.1052077836	.
112L1	108	4	1538.25	 697.468	 348.734	 1109.828	DARK	0.0520240970	.
112L1	109	4	1243.50	1047.921	 523.960	 1667.476	DARK	0.0731422054	.
112L1	110	4	1918.75	 989.750	 494.875	 1574.913	DARK	0.4503797208	.
112L1	111	4	1204.00	 900.356	 450.178	 1432.668	DARK	0.0469715227	*
112L2	  1	4	3526.75	1935.650	 967.825	 3080.051	DARK	0.5798212195	.
112L2	  2	4	3094.75	1865.810	 932.905	 2968.920	DARK	0.6059092810	.
112L2	  3	4	4041.75	1848.254	 924.127	 2940.984	DARK	0.6411620096	.
112L2	  4	4	3625.50	1025.357	 512.678	 1631.571	DARK	0.8197908796	.
112L2	  5	4	4976.25	1015.261	 507.631	 1615.507	DARK	0.0827874657	.
112L2	  6	4	5754.50	5127.568	2563.784	 8159.106	DARK	0.2729345235	.
112L2	  7	4	3939.50	2207.375	1103.687	 3512.426	DARK	0.6797084713	.
112L2	  8	4	3294.25	1379.347	 689.673	 2194.848	DARK	0.8200910786	.
112L2	  9	4	2740.00	2939.245	1469.622	 4676.994	DARK	0.7227156249	.
112L2	 10	4	2759.75	2263.649	1131.824	 3601.970	DARK	0.3075551631	.
112L2	 11	4	3486.00	 846.418	 423.209	 1346.840	DARK	0.0714274889	.
112L2	 12	4	3723.50	2351.518	1175.759	 3741.791	DARK	0.0971285994	.
112L2	 13	4	3233.25	1251.132	 625.566	 1990.830	LIGHT	0.3559975529	.
112L2	 14	4	3289.75	2600.400	1300.200	 4137.816	LIGHT	0.5383659270	.
112L2	 15	4	2562.75	2469.363	1234.681	 3929.307	LIGHT	0.9894961068	.
112L2	 16	4	2541.75	3211.441	1605.720	 5110.119	LIGHT	0.5601989322	.
112L2	 17	4	3843.00	2077.663	1038.832	 3306.026	LIGHT	0.2544236841	.
112L2	 18	4	4304.50	4649.101	2324.550	 7397.757	LIGHT	0.4955811832	.
112L2	 19	4	5112.75	4116.220	2058.110	 6549.825	LIGHT	0.2076161524	.
112L2	 20	4	5895.00	3841.930	1920.965	 6113.368	LIGHT	0.0859551052	.
